,lemma,count,pos
1920,slow,3,v
1921,fiendish,3,a
1922,disobedience,3,n
1923,make_sign,3,n
1924,preserve,3,n
1925,carve,3,n
1926,keep_watch,3,n
1927,cool_water,3,n
1928,hesitate,3,n
1929,suspend,3,n
1930,grasped,3,n
1931,weep_bitterly,3,r
1932,saba,3,n
1933,fowl,3,n
1934,fir-tree,3,a
1935,bubbling,3,n
1936,lime_tree,3,n
1937,custom,3,n
1938,arein,3,n
1939,nearby,3,r
1940,wrestling_match,3,n
1941,hunk,3,n
1942,support,3,n
1943,cawed,3,n
1944,labourer,3,n
1945,figure,3,n
1946,beautifully,3,r
1947,bark,3,n
1948,chuckle,3,n
1949,blush,3,n
1950,grace,3,n
1951,whole_world,3,n
1952,fragrant,3,n
1953,manage,3,n
1954,chosen,3,n
1955,morrow,3,n
1956,base,3,n
1957,trample,3,n
1958,gorgeous,3,a
1959,quit,3,n
1960,scoop,3,n
1961,thrice,3,n
1962,chase,3,n
1963,unfasten,3,a
1964,troubled,3,a
1965,gracious,3,a
1966,flock,3,n
1967,dense_forest,3,n
1968,saddle,3,n
1969,notion,3,n
1970,exception,3,n
1971,innkeeper,3,n
1972,weak,3,a
1973,wove,3,n
1974,woolen,3,n
1975,twelve_month,3,n
1976,fiery,3,n
1977,nature,3,n
1978,excitement,3,n
1979,destroyed,3,n
1980,booby,3,n
1981,spend,3,n
1982,several,3,a
1983,pleasure,3,n
1984,thread,3,n
1985,admire,3,n
1986,toss_head,3,n
1987,purse,3,n
1988,valiant,3,n
1989,groom,3,n
1990,anything_else,3,r
1991,consult,3,n
1992,beforehand,3,n
1993,somewhere_else,3,n
1994,somehow,3,n
1995,gain,3,n
1996,spark,3,n
1997,riband,3,n
1998,beauty,3,n
1999,occur,3,n
2000,squirt,3,n
2001,elder_brother,3,n
2002,worried,3,a
2003,remark,3,n
2004,midday,3,n
2005,fortunately,3,r
2006,glow,3,n
2007,chimney,3,n
2008,attack,3,n
2009,begin_feel,3,n
2010,motionless,3,n
2011,clearing,3,n
2012,rudely,3,r
2013,pigeon,3,n
2014,doorjust,3,n
2015,give_blessing,3,v
2016,liberty,3,n
2017,hoop,3,n
2018,noonday,3,n
2019,thirsty,3,n
2020,beach,3,n
2021,chink,3,n
2022,bodice,3,n
2023,certain,3,a
2024,unchain,3,n
2025,await,3,n
2026,dance_dance,3,n
2027,deserve,3,n
2028,write_letter,3,n
2029,balcony,3,n
2030,jumping,3,n
2031,vexation,3,n
2032,stag,3,n
2033,would_rather,3,n
2034,ploughboy,3,n
2035,cobweb,3,n
2036,plot,3,n
2037,equally,3,r
2038,beguile,3,n
2039,shortly,3,r
2040,trough,3,n
2041,headstrong,3,n
2042,ravine,3,n
2043,river_flow,3,n
2044,peer,3,n
2045,lame,3,n
2046,fought,3,n
2047,difference,3,n
2048,stall,3,n
2049,student,3,n
2050,whole_story,3,n
2051,driven,3,n
2052,illness,3,n
