,lemma,count,pos
195,hole,20,n
196,another,20,n
197,stood,20,n
198,strong,20,a
199,pass,19,n
200,benito,19,n
201,morning,19,n
202,young,19,a
203,toward,19,n
204,wave,19,n
205,light,19,n
206,flew,19,n
207,shore,19,n
208,kept,19,n
209,ligi,19,n
210,escape,19,n
211,small,19,a
212,carabao,19,n
213,companion,18,n
214,warrior,18,n
215,hair,18,n
216,seem,18,n
217,stand,18,n
218,mangita,18,n
219,magic,18,n
220,village,18,n
221,city,18,n
222,struck,18,n
223,long_time,18,n
224,full,18,a
225,sulayman,18,n
226,among,18,n
227,baby,18,n
228,maguayan,18,n
229,loku,17,n
230,refuse,17,n
231,bank,17,n
232,floor,17,n
233,voice,17,n
234,sign,17,n
235,white,17,a
236,gather,17,n
237,laugh,17,n
238,lizard,17,n
239,manuelito,17,n
240,wonder,17,n
241,could_find,17,n
242,quickly,17,r
243,ongloc,17,n
244,remain,17,n
245,form,17,n
246,moon,16,n
247,head-ax,16,n
248,golden,16,a
249,enough,16,r
250,hurry,16,n
251,determine,16,n
252,hunt,16,n
253,leave,16,v
254,disappear,16,n
255,alan,16,n
256,seize,16,n
257,hear,16,n
258,bolo,16,n
259,tikgi,16,n
260,harisaboqued,16,v
261,messenger,16,n
262,hasten,16,n
263,enter,16,n
264,quicoy,15,n
265,rest,15,n
266,show,15,n
267,black,15,a
268,animal,15,n
269,many_year,15,n
270,farmer,15,n
271,sight,15,n
272,happen,15,v
273,betel-nuts,15,n
274,leaf,15,n
275,door,15,n
276,ini-init,15,n
277,seven,15,n
278,drop,15,n
279,line,15,n
280,sinogo,14,n
281,ever,14,r
282,return_home,14,n
283,ship,14,n
284,wild,14,n
285,fast,14,n
286,till,14,n
287,save,14,v
288,silver,14,n
289,peace,14,n
290,watch,14,n
291,noise,14,n
292,prepare,14,n
293,dapilisan,14,n
294,seed,14,n
295,thunder,14,n
296,dark,14,n
297,bead,14,n
298,tobacco,14,n
299,dogedog,14,n
300,mouth,14,n
301,family,14,n
302,part,14,n
303,receive,14,n
304,word,14,n
305,able,14,a
306,throw,14,n
307,piece,14,n
308,rain,14,n
309,orange,14,n
310,distance,14,n
311,without,13,n
312,tail,13,n
313,blanket,13,n
314,need,13,n
315,fierce,13,n
316,chew,13,n
