,lemma,count,pos
160,flew,63,n
161,reply,63,n
162,certainly,63,r
163,song,63,n
164,door,62,n
165,beneath,61,n
166,miller,61,n
167,dead,61,a
168,find,61,v
169,talk,60,n
170,towards,59,n
171,therefore,59,r
172,horse,59,n
173,book,58,n
174,church,58,n
175,ship,58,n
176,deep,58,n
177,land,58,n
178,indeed,58,r
179,dark,58,n
180,dress,57,n
181,black,57,a
182,branch,57,n
183,stork,57,n
184,snow,56,n
185,spring,56,n
186,emperor,56,n
187,visit,55,n
188,sleep,55,n
189,blue,55,n
190,name,55,n
191,full,55,a
192,able,54,a
193,death,54,n
194,often,54,r
195,anything,53,n
196,happy,53,a
197,wall,53,n
198,close,53,r
199,keep,52,v
200,family,51,n
201,niels,51,n
202,hung,51,n
203,already,51,r
204,piece,51,n
205,promise,51,n
206,christine,51,n
207,pass,51,n
208,part,49,n
209,behind,49,n
210,strong,49,a
211,ground,49,n
212,without,49,n
213,fine,49,n
214,table,49,n
215,appear,49,v
216,lose,49,v
217,forth,48,n
218,within,48,n
219,stone,48,n
220,remain,48,n
221,return,48,n
222,sister,48,n
223,rock,47,n
224,wave,47,n
225,really,47,r
226,course,47,n
227,lake,47,n
228,lovely,47,r
229,along,46,n
230,wing,46,v
231,fresh,46,a
232,laugh,46,n
233,little_mermaid,46,n
234,hold,46,n
235,show,46,n
236,travel,46,n
237,fire,45,n
238,boat,45,n
239,across,45,n
240,believe,45,v
241,present,45,n
242,cloud,44,n
243,receive,44,n
244,sword,44,n
245,form,44,n
246,nightingale,43,n
247,half,43,n
248,third,43,a
249,cold,43,n
250,voice,42,n
251,stick,42,n
252,read,42,n
253,touch,42,n
254,floor,42,n
255,sang,41,n
256,bring,41,n
257,journey,41,n
258,wait,41,n
259,step,41,n
260,almost,41,r
261,speak,41,n
262,whose,41,n
263,kept,41,n
264,write,41,n
265,warm,41,n
266,squire,40,n
267,power,40,n
268,kind,40,n
269,gold,40,n
270,ingé,39,n
271,learn,39,n
272,rush,39,n
273,field,39,n
274,winter,38,n
275,remember,38,v
276,neither,38,n
277,stream,38,n
278,glitter,38,n
279,longer,38,n
280,parent,38,n
281,feel,38,n
282,listen,38,n
283,roll,38,n
284,notice,37,n
285,smith,37,n
286,small,37,a
287,true,37,a
288,mind,36,n
289,cover,36,n
290,smile,36,n
291,heaven,36,n
292,sometimes,36,r
293,order,36,n
294,sail,36,n
295,sure,36,n
296,threw,35,n
297,held,35,n
298,sent,35,n
299,play,35,n
300,although,35,n
301,clear,35,a
302,face,35,n
303,tail,35,n
304,wonderful,35,n
305,stay,35,n
306,seize,35,n
307,fish,35,n
308,seat,34,n
309,finger,34,n
310,husband,34,n
311,summer,34,n
312,roof,34,n
313,enter,34,n
314,hjalmar,34,n
315,hair,34,n
316,lamp,34,n
317,hall,34,n
318,whether,34,n
