,lemma,count,pos
325,sort,66,n
326,everybody,66,n
327,tire,66,n
328,dance,66,n
329,command,66,n
330,despair,66,n
331,seek,66,n
332,dwarf,65,n
333,handsome,65,n
334,certain,65,a
335,approach,65,n
336,subject,65,n
337,possible,64,a
338,consent,64,n
339,silver,64,n
340,strange,63,n
341,soldier,63,n
342,land,63,n
343,fair,63,n
344,enchanter,62,n
345,person,62,n
346,amuse,62,n
347,chariot,61,n
348,force,61,n
349,river,61,n
350,surprise,61,n
351,angry,61,a
352,form,61,n
353,serve,61,n
354,drink,60,n
355,story,60,n
356,mine,60,n
357,continued,60,a
358,start,60,n
359,four,59,n
360,wedding,59,n
361,instead,59,r
362,lover,59,n
363,happiness,59,n
364,treasure,59,n
365,nearly,59,r
366,exclaim,58,n
367,along,58,n
368,hasten,58,n
369,immediately,58,r
370,manner,58,n
371,sooner,58,n
372,fruit,58,n
373,hall,58,n
374,hunt,58,n
375,several,58,a
376,wall,58,n
377,flew,57,n
378,kiss,57,n
379,rock,57,n
380,almost,57,r
381,suffer,57,n
382,state,57,n
383,bassa,57,n
384,write,57,n
385,meet,57,n
386,sound,57,n
387,cinderella,56,n
388,livorette,56,n
389,graciosa,56,n
390,neangir,56,n
391,dragon,56,n
392,fetch,56,n
393,hundred,55,v
394,idea,55,n
395,rush,55,n
396,discover,55,n
397,earth,55,n
398,picture,55,n
399,smile,55,n
400,peronnik,54,n
401,usual,54,a
402,cruel,54,n
403,among,54,n
404,branch,54,n
405,neither,54,n
406,determine,54,n
407,sometimes,53,r
408,sing,53,v
409,skin,53,n
410,misfortune,53,n
411,free,52,a
412,resolve,52,n
413,mountain,52,n
414,slave,52,n
415,mouth,52,n
416,giant,52,n
417,fish,52,n
418,boat,52,n
419,carriage,52,n
420,pray,52,n
421,doubt,51,n
422,nurse,51,n
423,finish,51,n
424,assure,51,n
425,majesty,51,n
426,miserable,51,a
427,drew,51,n
428,cross,51,n
429,blow,51,n
430,parrot,51,n
431,hurry,51,n
432,take_care,51,n
433,second,50,a
434,straight,50,n
435,learn,50,n
436,manage,50,n
437,none,50,n
438,fail,50,n
439,shut,50,n
440,beside,50,n
441,feather,49,n
442,wonderful,49,n
443,pity,49,n
444,finger,49,n
445,noise,49,n
446,ball,49,n
447,half,49,n
448,enemy,49,n
449,fountain,49,n
450,forget,48,n
451,astonishment,48,n
452,understand,48,n
453,contain,48,n
454,sorrow,48,n
455,glad,48,n
456,decide,48,n
457,neighbour,48,n
458,hungry,48,n
459,island,48,n
460,play,48,n
461,except,47,n
462,plan,47,n
463,single,47,a
464,pink,47,n
465,visit,47,n
466,body,47,n
467,instantly,47,r
468,travel,47,n
469,drop,47,n
470,chance,47,n
471,pocket,47,n
472,jewel,46,n
473,sorry,46,n
474,meanwhile,46,r
475,ogre,46,n
476,choose,46,n
477,astonish,46,a
478,caught,46,n
479,surprised,46,a
480,delight,46,n
481,journey,46,n
482,secret,46,n
483,servant,46,n
484,count,45,n
485,impossible,45,a
486,pretend,45,n
487,sire,45,n
488,adventure,45,n
489,wing,45,v
490,wander,45,n
491,agree,45,n
492,pain,45,n
493,presence,45,n
494,sweet,45,n
495,seize,45,n
496,dinner,45,n
497,animal,45,n
498,enjoy,44,n
499,toupette,44,n
500,magnificent,44,n
501,wind,44,n
502,bound,44,n
503,enchant,44,n
504,frighten,44,n
505,magic,44,n
506,hearing,44,n
507,either,44,n
508,food,44,n
509,laid,44,n
510,piece,44,n
511,point,44,n
512,disappear,44,n
513,danger,44,n
514,fortune,44,n
515,cease,43,n
516,comfort,43,n
517,condition,43,n
518,tiny,43,a
519,hole,43,n
520,grief,43,n
521,oblige,43,n
522,strong,43,a
523,forward,43,r
524,therefore,43,r
525,struck,43,n
526,make_mind,43,n
527,recognise,42,n
528,persuade,42,n
529,treat,42,n
530,road,42,n
531,long_time,42,n
532,basket,42,n
533,hidden,42,n
534,hard,42,a
535,book,42,n
536,honour,42,n
537,emperor,42,n
538,carefully,42,r
539,conduct,42,n
540,knee,42,n
541,sword,42,n
542,tephany,42,n
543,cure,42,n
544,spot,41,n
545,seat,41,n
546,forgotten,41,n
547,sigh,41,n
548,scarcely,41,r
549,restore,41,n
550,truth,41,n
551,bread,41,n
552,monkey,41,n
553,shoulder,40,n
554,eldest,40,n
555,catch,40,n
556,break,40,n
557,fancy,40,n
558,month,40,n
559,shape,40,n
560,fast,40,n
561,fault,40,n
562,path,40,n
563,different,40,a
564,tail,40,n
565,entirely,40,r
566,hide,40,n
567,hung,40,n
568,percinet,40,n
569,pull,39,n
570,invite,39,n
571,mistress,39,n
572,terror,39,n
573,tremble,39,a
574,youth,39,n
575,gate,39,n
576,suppose,39,n
577,thanked,39,n
578,besides,39,n
579,city,39,n
580,whisper,39,n
581,ship,39,n
582,courtier,39,n
583,lake,39,n
584,cornichon,39,n
585,easy,39,a
586,duchess,39,n
587,prevent,39,n
588,admire,39,n
589,robe,39,n
590,flung,38,n
591,fresh,38,a
592,deep,38,n
593,twelve,38,n
594,steal,38,n
595,guess,38,n
596,stranger,38,n
597,respect,38,n
598,godmother,38,n
599,prepared,38,a
600,asleep,38,n
601,reward,38,n
602,mirror,38,n
603,hastily,38,r
604,youri,38,n
605,bade,38,n
606,gently,38,r
607,consider,38,v
608,cold,37,n
609,kitchen,37,n
610,gain,37,n
611,peace,37,n
612,service,37,n
613,recover,37,n
614,floor,37,n
615,surround,37,n
616,welcome,37,n
617,rosette,37,n
618,drawn,37,n
619,field,37,n
620,wear,37,n
621,whatever,37,n
622,fact,37,n
623,nobody,37,n
624,beggar,37,n
625,meant,37,n
626,broke,37,n
627,leaf,37,n
628,could_hardly,37,r
629,minute,37,n
630,move,37,n
631,corner,37,n
632,wore,37,n
633,crowd,37,n
634,inform,37,n
635,shoe,37,n
636,question,36,n
637,page,36,n
638,short,36,a
639,embrace,36,n
640,monster,36,n
641,baby,36,n
642,horrible,36,a
643,advice,36,n
644,anxious,36,a
645,anger,36,n
646,loud,36,n
647,coach,36,n
648,prison,36,n
649,royal,36,n
650,horror,35,n
651,inside,35,n
652,truly,35,r
653,content,35,n
654,spent,35,n
655,farm,35,n
656,company,35,n
657,difficulty,35,n
658,lift,35,n
659,iron,35,n
660,consult,35,n
661,perceive,35,n
662,past,35,n
663,clear,35,a
664,succeed,35,v
665,sprang,35,n
666,sultan,35,n
667,deceive,35,n
668,implore,34,n
669,number,34,n
