lemma,japanese,serbian,german,french,north_american_native,brazilian,armenian,english,russian,greek,danish,canadian_native,ukrainian,indian,norwegian,welsh,scandinavian,polish,czechoslovak,scottish,celtic,portuguese,arabic,croatian,estonian,dutch,italian,nigerian,albanian,maori,nordic,irish,hungarian,south_african,slavic,australian_ethnic,chinese,tanzanian,swedish,icelandic,philippine,hawaiian,jewish,romanian,korean,turkish,finnish,belgian,spanish,cataloanian,bulgarian,bukovinian,new_zealand_native,sami,pakistani,lithuanian,zimbabwe,diff
follow,0.019050410316529893,0.0,0.020606930490055363,0.027078734363502575,0.027089604075017364,0.0,0.0,0.016774193548387096,0.01735052754982415,0.023081721771678103,0.022957461174881837,0.0,0.0,0.02481310641005249,0.0,0.0,0.01988274279887841,0.0,0.017287234042553192,0.026540284360189573,0.0,0.0,0.0,0.0,0.0,0.0,0.014520352297072126,0.0,0.0,0.0,0.011793166011490778,0.02740254727904284,0.0,0.0,0.027392120075046905,0.05555555555555555,0.03017031630170316,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
remember,0.015533411488862838,0.0,0.006048800492105803,0.010596026490066225,0.00949293818013429,0.0,0.0,0.01264516129032258,0.007502930832356389,0.010917030567685589,0.012829169480081027,0.0,0.0,0.012088436456179418,0.0,0.0,0.011725720112159062,0.0,0.016843971631205674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008807426803142109,0.0,0.0,0.0,0.013305110371938312,0.010999614048629872,0.0,0.0,0.014634146341463415,0.0,0.00948905109489051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
fell,0.023739742086752638,0.0,0.027168341193356572,0.018543046357615896,0.02130122713591109,0.0,0.0,0.022451612903225806,0.023446658851113716,0.024017467248908297,0.025320729237002026,0.0,0.0,0.01733736281215206,0.0,0.0,0.01911802192199847,0.0,0.008865248226950355,0.018957345971563982,0.0,0.0,0.0,0.0,0.0,0.0,0.012854082361342537,0.0,0.0,0.0,0.02298155427880254,0.014473176379776149,0.0,0.0,0.025140712945590993,0.01639344262295082,0.019221411192214113,0.0,0.0,0.0,0.020351526364477335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
believe,0.014361078546307152,0.0,0.014353085913471396,0.01648270787343635,0.008103727714748784,0.0,0.0,0.006193548387096774,0.007268464243845252,0.008109794135995009,0.015192437542201216,0.0,0.0,0.013519961825990138,0.0,0.0,0.014784603619678817,0.0,0.007978723404255319,0.013270142180094787,0.0,0.0,0.0,0.0,0.0,0.0,0.009759581052130446,0.0,0.0,0.0,0.006954944058058663,0.014473176379776149,0.0,0.0,0.00900562851782364,0.0,0.01119221411192214,0.0,0.0,0.0,0.022201665124884366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
allow,0.0076201641266119575,0.0,0.009842116054951815,0.00986019131714496,0.0046307015512850195,0.0,0.0,0.002838709677419355,0.004220398593200469,0.0037429819089207735,0.008102633355840648,0.0,0.0,0.008589152218864323,0.0,0.0,0.007902115727759368,0.0,0.00576241134751773,0.014218009478672985,0.0,0.0,0.0,0.0,0.0,0.0,0.0042846941204475126,0.0,0.0,0.0,0.008164499546416692,0.002701659590891548,0.0,0.0,0.0075046904315197,0.0,0.01338199513381995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
appear,0.011430246189917937,0.0,0.013532909575558746,0.02119205298013245,0.01412363973141931,0.0,0.0,0.010838709677419355,0.013833528722157092,0.013100436681222707,0.016542876434841324,0.0,0.0,0.00938444409098139,0.0,0.0,0.02574560285495794,0.0,0.014184397163120567,0.03222748815165877,0.0,0.0,0.0,0.0,0.0,0.0,0.016900737919542965,0.0,0.0,0.0,0.013305110371938312,0.00482439212659205,0.0,0.0,0.01575984990619137,0.0,0.025547445255474453,0.0,0.0,0.0,0.020351526364477335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
next_morning,0.0,0.0,0.012302645068689768,0.004415011037527594,0.009261403102570039,0.0,0.0,0.008258064516129033,0.006330597889800703,0.0,0.007427413909520594,0.0,0.0,0.006362334976936536,0.0,0.0,0.004588325261279633,0.0,0.006648936170212766,0.009478672985781991,0.0,0.0,0.0,0.0,0.0,0.0,0.010473696738871698,0.0,0.0,0.0,0.0042334442092530995,0.012929370899266693,0.0,0.0,0.007879924953095686,0.0,0.0,0.0,0.0,0.0,0.011100832562442183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
recognize,0.0,0.0,0.0036907935206069303,0.0019131714495952907,0.0023153507756425097,0.0,0.0,0.0,0.002813599062133646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004078511343359674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028564627469650082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006569343065693431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
rose,0.0,0.0,0.0013327865491080582,0.00235467255334805,0.0033572586246816394,0.0,0.0,0.0,0.0,0.0,0.008777852802160702,0.0,0.0,0.0,0.0,0.0,0.017333673209278613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004535833081342607,0.0021227325357005018,0.0,0.0,0.006378986866791745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
save,0.008206330597889801,0.0,0.005741234365388558,0.00986019131714496,0.007756425098402408,0.0,0.0,0.007741935483870968,0.005392731535756155,0.011228945726762321,0.00675219446320054,0.0,0.0,0.014474312072530618,0.0,0.0,0.007647208768799388,0.0,0.010195035460992909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006665079742918353,0.0,0.0,0.0,0.0060477774417901425,0.01775376302585874,0.0,0.0,0.005628517823639775,0.01912568306010929,0.023600973236009733,0.0,0.0,0.0,0.012950971322849213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
