lemma,albanian,armenic,austronesian,bantu,celtic,chadic,east_asia,germanic,hellenic,hindustani,italic,native_american,native_cana,semitic,slavic,turkic,uralic,urgic
word,0.0,0.0,0.00045430593170366003,0.0,0.000917639350641925,0.0,0.0016421470210948666,0.0010227979825631801,0.0017993602274746,0.0012717226516983,0.0007488331607696375,0.0012296236839184,0.0,0.0,0.0008168569187049778,0.0,0.0,0.0
must,0.0,0.0,0.00227894238268302,0.0,0.0019828376939196504,0.0,0.0029006657949571667,0.00251269995193891,0.004043006930869,0.00281282497838695,0.0011529147591527625,0.0040902065597007,0.0,0.0,0.0012233460333436112,0.0,0.0,0.0
shall,0.0,0.0,0.00209035431908214,0.0,0.0011252764332067748,0.0,0.0019071897544713668,0.00208539070655514,0.0046427936733605,0.00218009597434,0.00114827718851705,0.0029459734093878,0.0,0.0,0.0013095357230673223,0.0,0.0,0.0
wife,0.0,0.0,0.0023198437100596598,0.0,0.00164672171129125,0.0,0.0025726707658693666,0.00147378104133008,0.0018215745512706,0.0037838447370729,0.0009615558064936,0.003859652118966,0.0,0.0,0.0014332589370224,0.0,0.0,0.0
pedro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heard,0.0,0.0,0.0015567182099091002,0.0,0.0018519446618168998,0.0,0.001674131392266167,0.00166543837309707,0.0030211480362537,0.0014408680290178,0.0009444842548729501,0.0033900041841361,0.0,0.0,0.0010719877526405668,0.0,0.0,0.0
home,0.0,0.0,0.00197863807872808,0.0,0.0018498793718573,0.0,0.002745502983040734,0.00189720078969304,0.0038208636929091,0.00172904163482135,0.00058557450536655,0.0047391746151021,0.0,0.0,0.0015617597229803,0.0,0.0,0.0
queen,0.0,0.0,0.0,0.0,0.00117905605264545,0.0,0.00034410275757586667,0.00093771426216966,0.0021770037320063,0.00189192236853645,0.0015251801241254251,8.53905336054445e-05,0.0,0.0,0.0005358053273453333,0.0,0.0,0.0
thought,0.0,0.0,0.00129456594404326,0.0,0.001523925678048175,0.0,0.0019239997852602334,0.00277711717928024,0.0027323618269059,0.0024557402929347,0.0008725482582513375,0.0030057467829116,0.0,0.0,0.0011377612852194444,0.0,0.0,0.0
beautiful,0.0,0.0,0.0010428477959460599,0.0,0.0007660113384539251,0.0,0.0012185220677096667,0.00191554552514128,0.0020881464368224,0.00174783556563465,0.0009459776849096751,0.0013918656977687,0.0,0.0,0.0011356649733842111,0.0,0.0,0.0
door,0.0,0.0,0.00020176205528279998,0.0,0.000969640961833625,0.0,0.0009032063141317668,0.00092692464706266,0.0008885729518393,0.00048864220114515,0.0003420234067288625,0.0021603805002177,0.0,0.0,0.00043241972931944443,0.0,0.0,0.0
found,0.0,0.0,0.00170989410933414,0.0,0.00173996756130775,0.0,0.0020520852972248332,0.00153254004143254,0.0032655055980095,0.0019608334481851,0.000978170215652225,0.0037657225320001,0.0,0.0,0.0009946061271959778,0.0,0.0,0.0
place,0.0,0.0,0.00193965560462814,0.0,0.002701265282813725,0.0,0.0022666979382345996,0.0016414414938865501,0.0023102896747822,0.00184806986330545,0.000777364142081575,0.003859652118966,0.0,0.0,0.0009811058314645445,0.0,0.0,0.0
hand,0.0,0.0,0.00089186756180134,0.0,0.001856136802103075,0.0,0.0024077028563999335,0.0021418424494437103,0.0044206504354007,0.0016663951987771,0.0008920466336816875,0.00298012962283,0.0,0.0,0.0015872863508416223,0.0,0.0,0.0
water,0.0,0.0,0.0032545314525143794,0.0,0.001773094281150525,0.0,0.0020790055250114003,0.00145573398383993,0.0027990047982939,0.001296781226116,0.0004954601137998249,0.0036290976782313,0.0,0.0,0.0014253736724845667,0.0,0.0,0.0
call,0.0,0.0,0.0024793345010092,0.0,0.0015406121587035748,0.0,0.0024368870632541,0.00176567165986408,0.0047538652923405,0.0016100134063373,0.000889102401040375,0.0041670580399456,0.0,0.0,0.0010651751959191889,0.0,0.0,0.0
