,X0,X1,Nation,language_family
1395,-28.94614,-3.1211035,Scottish,celtic
1396,23.957142,14.466695,Spanish,italic
1397,13.379756,-1.4012896,North_American_Native,native_american
1398,28.494345,-21.87408,Serbian,slavic
1399,-4.030169,2.0435448,Indian,hindustani
1400,-27.5379,-22.995663,Greek,hellenic
1401,-1.6482046,7.187966,Greek,hellenic
1402,-27.233479,-8.521731,Indian,hindustani
1403,-4.5583262,28.801365,North_American_Native,native_american
1404,4.0253844,0.32630786,Greek,hellenic
1405,-3.1794577,-5.932121,German,germanic
1406,-8.354574,-31.783707,German,germanic
1407,-4.03014,-20.707592,Norwegian,germanic
1408,12.294746,15.7030735,Finnish,uralic
1409,-5.9953594,35.277943,Irish,celtic
1410,29.775078,-10.326149,Finnish,uralic
1411,-4.6049285,-24.300797,Nordic,germanic
1412,35.64091,10.145633,French,italic
1413,33.364296,8.898017,French,italic
1414,-28.010641,12.848302,Portuguese,italic
1415,18.958971,-21.391819,German,germanic
1416,-4.47404,0.03907812,Scottish,celtic
1417,-27.101587,-25.522331,Greek,hellenic
1418,7.0550914,11.083559,Japanese,east_asia
1419,2.8210402,19.816416,Scottish,celtic
1420,3.3483937,-15.435523,Celtic,celtic
1421,-0.4148375,6.665214,Nigerian,chadic
1422,-21.259773,4.264912,English,germanic
1423,1.2131146,-25.990156,Czechoslovak,slavic
1424,11.927999,-24.877167,German,germanic
1425,-38.242245,1.1761929,Irish,celtic
1426,-35.592674,3.7633085,Greek,hellenic
1427,-26.286564,15.635114,North_American_Native,native_american
1428,15.171034,6.100466,Chinese,east_asia
1429,24.116312,29.262827,Irish,celtic
1430,9.756419,22.29842,Scottish,celtic
1431,-16.24924,36.248844,Nigerian,chadic
1432,-8.44672,8.859681,Australian_Ethnic,austronesian
1433,-29.722195,17.581112,North_American_Native,native_american
1434,-13.122347,-6.005267,North_American_Native,native_american
1435,-3.945232,1.4715321,Serbian,slavic
1436,11.030505,-1.0693855,Greek,hellenic
1437,14.639811,-20.16552,Ukrainian,slavic
1438,12.689083,-6.3582554,Greek,hellenic
1439,16.599714,17.72679,Indian,hindustani
1440,-17.339375,5.508212,Spanish,italic
1441,-9.942453,-22.759878,German,germanic
1442,-2.5567608,13.354142,Estonian,uralic
1443,11.538093,-38.50003,Slavic,slavic
1444,25.622421,22.934261,Czechoslovak,slavic
1445,0.6168785,-4.9048896,Italian,italic
1446,3.2229972,-34.023075,Czechoslovak,slavic
1447,27.639158,-17.145857,Slavic,slavic
1448,-28.119907,3.8002293,Dutch,germanic
1449,-10.386683,-37.057102,Nordic,germanic
1450,17.608877,8.645813,Japanese,east_asia
1451,-4.1634793,-23.19904,Scandinavian,germanic
1452,-22.54556,-12.918113,Philippine,austronesian
1453,-11.408579,6.614595,Danish,germanic
1454,-6.575094,38.232517,Irish,celtic
1455,11.917236,8.671578,Greek,hellenic
1456,26.758936,-3.4459603,Tanzanian,bantu
1457,-17.888044,5.3782053,Portuguese,italic
1458,-5.0238943,5.5970526,German,germanic
1459,5.7961054,-9.58547,French,italic
1460,-7.958878,14.927518,Brazilian,italic
1461,18.012056,-1.617514,French,italic
1462,-15.325604,-4.8584948,Scandinavian,germanic
1463,-6.652824,-15.907891,Czechoslovak,slavic
1464,2.8467314,-13.686348,Tanzanian,bantu
1465,-2.504455,19.723368,Celtic,celtic
1466,25.865807,12.795724,Icelandic,germanic
1467,12.5030985,-32.778957,Bulgarian,slavic
1468,7.3599844,-41.11163,Spanish,italic
1469,-30.663982,-8.466615,Arabic,semitic
1470,30.426207,-18.386665,Swedish,germanic
1471,-10.993791,4.9116592,Nordic,germanic
1472,2.8046684,33.279934,Dutch,germanic
1473,17.234411,-0.88660735,Greek,hellenic
1474,-17.515587,28.802874,North_American_Native,native_american
1475,23.845673,-36.700188,Slavic,slavic
1476,-14.258758,-2.568926,Scottish,celtic
1477,27.230738,-16.70077,Scottish,celtic
1478,13.890174,-17.639732,Italian,italic
1479,18.454184,-10.257739,Portuguese,italic
1480,5.964412,5.4213214,Greek,hellenic
1481,11.35558,-21.197466,Russian,slavic
1482,14.012012,-4.6431575,French,italic
1483,18.779968,23.531977,Romanian,italic
1484,-22.79241,-12.789262,Indian,hindustani
1485,4.5884542,12.4445505,English,germanic
1486,-28.737598,0.89247966,Polish,slavic
1487,-36.3188,-8.845903,Indian,hindustani
1488,-21.541767,13.265847,Nigerian,chadic
1489,-13.447671,-12.484976,Scandinavian,germanic
1490,2.1013882,-22.408524,German,germanic
1491,-7.2816305,23.575422,English,germanic
1492,28.873661,11.575462,Portuguese,italic
1493,-3.2218835,7.711693,Portuguese,italic
1494,9.451256,-7.813669,North_American_Native,native_american
1495,12.786663,0.99446374,Greek,hellenic
1496,-5.8940153,-33.40605,German,germanic
1497,-5.4373984,-29.283293,English,germanic
1498,-14.132042,-14.696538,Scandinavian,germanic
1499,-0.5541768,-10.525958,French,italic
1500,9.939658,13.918861,Philippine,austronesian
1501,14.341504,-26.871761,German,germanic
1502,-15.706162,-11.986011,Chinese,east_asia
1503,3.813669,37.564617,Danish,germanic
1504,-12.712098,10.02043,Arabic,semitic
1505,-20.949932,10.772361,North_American_Native,native_american
1506,-6.309142,-15.3506975,North_American_Native,native_american
1507,-6.2698927,31.149042,North_American_Native,native_american
1508,-18.524101,21.072693,North_American_Native,native_american
1509,0.4795392,8.931664,French,italic
1510,-21.108162,-7.4809046,Pakistani,hindustani
1511,-21.216825,25.98733,Australian_Ethnic,austronesian
1512,-12.62575,22.158278,North_American_Native,native_american
1513,16.263014,-2.4948885,Greek,hellenic
1514,-20.543034,14.570673,Korean,east_asia
1515,20.25291,26.9605,French,italic
1516,-10.526015,28.748425,Russian,slavic
1517,-7.759193,-9.37505,Nordic,germanic
1518,-15.177566,-39.21818,Scandinavian,germanic
1519,-36.761883,16.952854,Philippine,austronesian
1520,-29.221052,-16.435318,Danish,germanic
1521,-12.445364,31.590523,Brazilian,italic
1522,15.126696,4.1552906,North_American_Native,native_american
1523,-12.781308,21.073631,North_American_Native,native_american
1524,22.346624,22.937153,Scandinavian,germanic
1525,2.1881385,43.534004,Russian,slavic
1526,23.318415,-36.416874,Russian,slavic
1527,4.703275,1.7064352,Greek,hellenic
1528,14.981213,1.2522863,French,italic
1529,5.980879,-39.495937,Albanian,albanian
1530,-20.03117,-29.680515,Celtic,celtic
1531,-23.135353,9.142581,Philippine,austronesian
1532,-8.708966,-29.448767,English,germanic
1533,-1.2847998,-33.117126,Russian,slavic
1534,23.394127,6.026381,Japanese,east_asia
1535,8.480689,8.925838,Belgian,germanic
1536,-2.3968408,0.063106984,French,italic
1537,-23.8568,-19.605425,Japanese,east_asia
1538,-13.128578,5.7524223,Scandinavian,germanic
1539,6.901152,-39.987717,Albanian,albanian
1540,-12.635832,-38.662704,Scandinavian,germanic
1541,-11.524843,15.277755,Nigerian,chadic
1542,8.176,21.091034,North_American_Native,native_american
1543,-8.946377,-10.95124,North_American_Native,native_american
1544,30.211342,21.636524,Brazilian,italic
1545,-21.944223,27.564259,Maori,austronesian
1546,1.9974133,-26.736067,Serbian,slavic
1547,14.970676,4.132682,North_American_Native,native_american
1548,-2.4064317,25.05347,English,germanic
1549,-22.893667,-7.0710244,German,germanic
1550,15.546558,10.16236,Danish,germanic
1551,-7.3377275,4.3874106,Australian_Ethnic,austronesian
1552,-4.9007564,-18.090473,German,germanic
1553,-0.68656963,28.186346,Scandinavian,germanic
1554,-28.141157,22.566803,North_American_Native,native_american
1555,7.57351,1.5040038,Greek,hellenic
1556,-19.774288,-6.406253,North_American_Native,native_american
1557,30.550407,13.295387,Scandinavian,germanic
1558,18.442999,-3.9623792,North_American_Native,native_american
1559,25.51529,-28.126133,Norwegian,germanic
1560,23.140844,21.797686,English,germanic
1561,-10.380039,-10.269238,Indian,hindustani
1562,21.981981,8.651914,Arabic,semitic
1563,-9.570799,5.133838,Nordic,germanic
1564,-13.870917,10.692762,Croatian,slavic
1565,6.8340464,6.186474,German,germanic
1566,-21.371183,-12.060681,Chinese,east_asia
1567,14.284924,-22.026344,Scandinavian,germanic
1568,-19.14551,-1.0934496,Scandinavian,germanic
1569,17.66397,-2.4745781,French,italic
1570,-16.113148,10.944523,South_African,bantu
1571,-21.264286,17.739199,Philippine,austronesian
1572,-7.970833,6.9313345,Nigerian,chadic
1573,21.355844,8.442127,Indian,hindustani
1574,26.374062,4.830608,Indian,hindustani
1575,-37.39871,3.5952406,Irish,celtic
1576,4.787375,-34.3125,Chinese,east_asia
1577,-3.4769692,-16.768856,German,germanic
1578,-21.05775,27.817226,Maori,austronesian
1579,41.847916,2.3132498,German,germanic
1580,32.500217,10.779089,French,italic
1581,15.79571,-4.3350105,French,italic
1582,17.90591,-11.651916,English,germanic
1583,10.458676,-4.5241027,North_American_Native,native_american
1584,0.29372922,15.240029,Norwegian,germanic
1585,15.843186,-35.30707,Russian,slavic
1586,-6.4557753,38.09118,Irish,celtic
1587,-13.596593,-39.73163,Nordic,germanic
1588,-18.653532,26.028885,North_American_Native,native_american
1589,28.773956,18.03525,Indian,hindustani
1590,-10.189224,0.0804021,Chinese,east_asia
1591,9.743341,-7.844008,Greek,hellenic
1592,0.04276218,-3.9148426,French,italic
1593,14.347819,2.5800738,French,italic
1594,-12.4555025,-3.1813533,Welsh,celtic
1595,12.684843,42.136738,German,germanic
1596,14.986557,-13.825022,Croatian,slavic
1597,38.01997,15.673123,Russian,slavic
1598,-11.072322,13.614066,Nigerian,chadic
1599,-22.084038,17.880571,North_American_Native,native_american
1600,-6.2606688,27.03248,North_American_Native,native_american
1601,-2.5112042,-0.08776619,Belgian,germanic
1602,17.599304,33.269962,Czechoslovak,slavic
1603,-21.108398,2.6511133,Portuguese,italic
1604,-12.448912,25.04398,North_American_Native,native_american
1605,-4.627089,11.175338,Ukrainian,slavic
1606,4.97188,16.599258,Icelandic,germanic
1607,14.965922,-5.5316286,French,italic
1608,5.4174705,25.199335,North_American_Native,native_american
1609,9.056981,2.8868048,Greek,hellenic
1610,35.667507,8.439226,French,italic
1611,0.8016975,-11.186067,Ukrainian,slavic
1612,-22.809853,2.961121,Maori,austronesian
1613,24.693613,3.8182251,Pakistani,hindustani
1614,-8.542223,11.046632,Indian,hindustani
1615,-12.449136,16.129557,Philippine,austronesian
1616,23.429583,25.263855,Norwegian,germanic
1617,5.2181,-8.704062,Russian,slavic
1618,-19.93267,-6.0109067,Japanese,east_asia
1619,11.579239,-20.618914,Croatian,slavic
1620,-22.524252,28.087057,Australian_Ethnic,austronesian
1621,4.538869,-5.3986225,Greek,hellenic
1622,-1.8485601,9.514128,Swedish,germanic
1623,23.641697,11.108856,Russian,slavic
1624,26.982012,-17.394632,Italian,italic
1625,-2.5267982,25.088642,North_American_Native,native_american
1626,-4.5430465,5.1685205,German,germanic
1627,-4.44467,25.681091,North_American_Native,native_american
1628,-24.556158,24.479988,Australian_Ethnic,austronesian
1629,-0.50499,-16.563192,Russian,slavic
1630,8.908099,-0.73240346,Greek,hellenic
1631,-23.735693,23.059168,Australian_Ethnic,austronesian
1632,-21.08738,7.3049335,North_American_Native,native_american
1633,0.9213137,10.1828575,Slavic,slavic
1634,-3.4119213,-10.41865,Italian,italic
1635,2.8611193,-31.221973,Albanian,albanian
1636,-5.922287,16.381454,English,germanic
1637,-24.023779,-8.932445,North_American_Native,native_american
1638,0.6396814,25.278856,Nordic,germanic
1639,1.2762966,27.397434,North_American_Native,native_american
1640,1.4739457,12.00313,Chinese,east_asia
1641,22.99671,-10.092917,Italian,italic
1642,17.861483,-6.9587717,Greek,hellenic
1643,-3.9470642,17.236794,North_American_Native,native_american
1644,15.027115,-1.9773734,Greek,hellenic
1645,-13.5269375,-7.5278087,North_American_Native,native_american
1646,9.575816,-14.630516,German,germanic
1647,-13.810189,23.509949,North_American_Native,native_american
1648,15.523078,-7.3819485,French,italic
