,lemma,portuguese,north_american_native,english,german,scottish,danish,french,italian,greek,irish,nordic,scandinavian,russian,slavic,czechoslovak,japanese,chinese,indian,philippine,australian_ethnic,diff
34,call,0.0,0.004167058039945691,0.004072750504102697,0.003505363286784052,0.003140447804594359,0.002938250468500567,0.002477165337145476,0.004635653871177619,0.004753865292340501,0.003022000830220008,0.004230587558786684,0.002909764780467188,0.0033521463998631776,0.0029442872252236803,0.003290143138186012,0.004540131889804219,0.00277052929995812,0.0032200268126746268,0.008406752303450131,0.003989920201595968,0.01726053540847923
35,might,0.0,0.00155410771161909,0.0024157000539040507,0.00258247318356608,0.0022099447513812156,0.0028457071466580293,0.003906718901753659,0.0017891997397527651,0.001910431846454594,0.0018098796180987962,0.003429651079210564,0.003121088479607263,0.001094578416281854,0.0015721922076437126,0.0015602740655315107,0.001931096821907677,0.0024644824586836766,0.0019545688045807075,0.0018831125159728293,0.0030799384012319755,0.01726053540847923
36,barber,0.0,0.0,0.0,9.714632665452337e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004001943801274905,0.0,0.0,0.0,0.0007016400836956385,0.0007397942027036115,0.0,0.01726053540847923
37,husband,0.0,0.0013320923242449343,0.0007985785302162151,0.0015219591175875328,0.0018610061064262867,0.000786618235661569,0.0011785632441044557,0.002297495120364346,0.0006886440376754931,0.0011124948111249481,0.0009652311420532726,0.0006177154282556042,0.0013169146570891055,0.000886144698853729,0.0014924360626823146,0.001438050824824866,0.0017718501336941464,0.003859020460326012,0.0020848745712556327,0.002029959400811984,0.01726053540847923
38,left,0.0,0.0028691219291429354,0.0019365529357743218,0.0021534102408419346,0.0020936318697295725,0.0016657797931656758,0.002477165337145476,0.0019315224463240079,0.0022658610271903325,0.0028061436280614363,0.0026081777668248004,0.0014467545556512834,0.002650932101932615,0.002201069090701198,0.0019333830812020894,0.0017051174065780554,0.001981250604039818,0.0021174495382957664,0.0025556527002488397,0.0027999440011199778,0.01726053540847923
39,tell,0.0,0.0029886686761905574,0.0035936033859729683,0.0024691358024691358,0.0023844140738586797,0.00242926219836661,0.0033283499023320277,0.0042696811971372805,0.0028434334458859074,0.00514736405147364,0.0024233462715380033,0.001918168961425297,0.0033008380365999656,0.004802332561529886,0.004443389186622346,0.0022803377365080016,0.002158435617409233,0.0032450853870923282,0.0021521285896832338,0.003849923001539969,0.01726053540847923
40,answer,0.0,0.002732497075374224,0.0021361975683283755,0.0047439789516292245,0.002035475428903751,0.0015963723017837724,0.003753942184925303,0.005367599219258295,0.0025768615603341035,0.003603154836031548,0.0008830838108146962,0.0013492205406635564,0.003950743971267316,0.003030043163822428,0.0030187911267892274,0.0029377323992850835,0.0021745433458973617,0.002706326037111749,0.0034972089582352545,0.0018199636007279855,0.01726053540847923
41,love,0.0,0.0009392958696598895,0.0015572281339216196,0.0014329083181542199,0.0011049723756906078,0.0019434097586932882,0.003873981033861868,0.0030091086532205596,0.0016660742846987737,0.0012951432129514322,0.0018072412872486806,0.0017393566006144643,0.0014879425346331452,0.002772775348026184,0.0013567600569839224,0.004005998726297841,0.0023356206307786477,0.002042273815042662,0.0,0.001119977600447991,0.01726053540847923
42,head,0.0,0.003996276972734802,0.004352252989678372,0.003626796195102206,0.0028496656004652517,0.0030307937903431043,0.002946408110261139,0.004635653871177619,0.003643149102541319,0.006342880863428809,0.005216355533649601,0.003023554464619536,0.004429622028390628,0.004430723494268644,0.0041720371752255615,0.0032253425642500564,0.0026738829290293485,0.003295202535927731,0.004035241105656063,0.002659946801063979,0.01726053540847923
43,become,0.0,0.0018358964725170568,0.0009383297730040528,0.0024934223841327667,0.0013375981389938936,0.003239016264488814,0.0020297478092910068,0.0023178269355888094,0.002421361293762218,0.00099626400996264,0.0028751565933501735,0.0030560658029487784,0.0017273815631948007,0.002401166280764943,0.0014924360626823146,0.0016640302401544878,0.002802744756934377,0.003182438951048075,0.005514829511063286,0.0008399832003359933,0.01726053540847923
