,verb,present,cogmech,insight,time,relativ,funct,negate,quant,social,certain,affect,posemo,money,auxverb,future,discrep,humans,negemo,sad,percept,feel,family,bio,health,body,incl,motion,space,tentat,home,past,ingest,relig,number,achieve,adverb,work,friend,cause,anger,hear,pronoun,ipron,excl,leisure,preps,conj,death,inhib,see,ppron,i,anx,nonfl,sexual,swear,filler,assent,you,they
sid658,128,76,110,11,91,223,137,9,22,52,19,75,39,3,15,5,19,2,36,4,38,25,5,83,11,56,30,78,55,3,16,37,17,3,35,26,31,8,0,12,24,7,3,2,3,14,25,6,21,13,4,1,1,5,8,0,0,3,1,0,0
sid659,38,27,55,13,32,100,52,5,4,34,7,31,18,4,4,4,3,5,13,2,15,9,11,36,2,20,15,28,40,4,9,7,16,0,9,3,14,2,3,4,5,5,3,3,1,4,14,1,2,8,1,0,0,1,5,0,0,1,0,0,0
sid660,12,9,6,2,3,18,11,0,7,1,0,3,1,0,1,0,1,0,2,1,0,0,0,7,1,3,2,2,7,0,0,2,5,0,1,1,0,0,0,0,1,0,0,0,0,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
sid661,6,4,6,4,3,4,6,0,1,7,0,8,6,0,2,1,2,6,2,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,4,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
sid662,66,43,70,10,31,83,95,6,11,36,9,30,21,3,11,9,15,3,9,1,24,11,11,31,3,21,5,29,24,5,12,12,7,2,46,23,10,1,1,8,2,9,5,5,6,6,5,4,3,9,2,0,0,4,2,0,0,1,0,0,0
sid663,11,11,6,1,5,9,4,1,0,3,0,6,3,1,0,0,2,0,3,1,3,3,0,4,0,1,1,2,2,1,0,0,3,0,1,3,1,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sid664,19,15,15,4,9,25,15,0,0,7,1,5,2,1,5,2,4,0,3,0,13,0,0,4,0,1,3,6,10,1,0,1,3,1,2,2,4,1,0,1,0,4,0,0,0,0,5,1,0,1,9,0,0,3,1,0,0,0,0,0,0
sid665,143,79,141,31,78,162,116,7,22,165,27,127,84,6,30,25,32,37,43,4,35,12,69,69,20,27,10,45,39,9,6,37,20,0,16,95,30,4,1,27,31,4,5,5,2,3,8,9,12,12,19,0,0,2,1,3,1,4,3,0,0
sid666,41,24,55,16,26,54,43,6,7,35,8,16,11,1,9,5,6,2,5,1,8,2,0,7,3,4,6,17,9,5,2,9,0,5,6,5,8,13,0,5,0,5,4,4,2,1,4,0,0,1,1,0,0,3,2,0,0,0,0,0,0
sid667,60,37,73,19,27,100,62,3,7,40,8,68,49,9,12,9,8,8,19,9,49,18,0,38,9,20,14,31,40,16,6,12,8,42,6,11,10,0,0,4,2,14,11,2,1,13,13,4,5,12,13,9,1,2,2,1,0,2,0,8,0
sid668,43,25,64,16,31,84,46,2,17,53,6,65,32,3,7,5,10,15,32,3,20,6,0,16,2,12,4,26,25,5,2,11,1,3,5,14,6,14,2,12,17,5,2,1,3,2,7,2,7,8,9,1,0,9,2,1,0,0,0,1,0
sid669,36,18,55,12,28,90,59,5,8,13,12,24,19,0,11,7,11,2,4,1,18,7,4,21,3,11,7,27,35,4,4,7,7,0,10,3,13,5,1,4,1,2,1,1,3,8,12,4,0,7,9,0,0,1,2,0,0,1,0,0,0
sid670,5,5,12,0,0,8,29,0,7,36,0,25,20,3,0,0,0,0,0,0,3,2,28,3,0,1,0,0,8,7,5,0,2,0,4,0,7,2,0,5,0,0,11,7,6,1,0,0,0,0,0,4,1,0,6,0,0,0,0,3,0
sid671,267,170,315,93,176,461,260,28,59,161,35,235,160,6,44,30,50,28,74,28,165,55,28,120,14,79,33,128,154,55,27,56,17,7,15,85,57,15,8,26,15,36,24,24,15,27,46,18,11,24,69,0,0,23,9,12,0,6,0,0,0
sid672,157,85,136,21,57,148,132,8,18,102,25,101,80,5,48,31,40,11,20,0,48,4,44,29,3,13,27,55,36,14,23,28,13,2,7,30,31,11,3,8,18,15,13,13,5,8,9,6,1,7,29,0,0,2,5,0,0,5,0,0,0
sid673,196,110,202,50,104,300,158,15,15,96,20,120,65,7,40,26,41,35,55,18,89,31,15,60,9,38,21,94,94,38,19,47,10,4,16,20,34,16,0,17,11,19,12,12,13,15,31,9,3,14,34,0,0,20,3,5,0,2,0,0,0
sid674,168,96,250,57,139,361,208,26,41,102,43,169,115,21,33,19,31,15,52,16,91,27,20,57,15,29,28,89,127,33,34,42,9,16,11,36,49,13,2,23,13,30,15,15,14,16,50,13,4,20,22,0,0,16,3,5,0,3,0,0,0
sid675,94,58,76,10,51,151,84,6,11,97,10,50,32,14,12,10,16,16,18,3,12,4,29,24,4,4,11,46,51,4,18,24,16,3,13,18,25,5,9,9,8,6,6,6,5,6,14,1,3,12,2,0,0,2,1,0,0,1,0,0,0
sid676,5,4,9,4,1,7,7,0,1,7,1,6,6,0,0,0,3,0,0,0,2,0,0,4,0,1,1,3,3,2,1,1,3,0,0,1,2,0,2,1,0,1,2,0,0,2,2,0,0,0,0,2,0,0,1,0,0,1,0,2,0
sid677,151,92,201,70,76,219,154,9,43,115,12,134,76,31,26,15,29,3,58,21,40,12,22,48,10,26,28,66,73,21,54,35,13,1,23,43,25,19,7,23,15,13,12,12,10,30,21,8,25,15,8,0,0,12,3,1,0,1,1,0,0
sid678,141,83,131,22,83,179,153,11,28,102,28,82,57,27,36,25,33,9,24,8,29,10,18,60,3,50,18,58,37,16,18,23,6,4,15,32,44,10,3,9,11,16,8,8,4,24,13,9,9,10,6,0,0,3,9,1,0,1,3,0,0
sid679,59,28,58,10,21,75,43,1,4,10,5,35,14,3,16,6,19,1,21,2,22,10,3,12,4,4,6,27,26,4,3,15,4,1,5,4,4,0,0,10,10,4,1,1,1,2,12,3,0,6,6,0,0,5,1,0,0,1,0,0,0
sid680,48,34,47,7,47,95,49,2,13,44,10,61,47,7,8,6,15,7,14,4,34,11,20,30,3,19,12,25,22,4,7,6,1,4,3,9,11,2,1,1,5,0,6,5,2,5,7,1,3,2,18,1,1,3,3,7,0,2,0,0,0
sid681,36,26,71,25,39,111,48,1,10,36,7,79,52,5,2,2,7,6,26,8,33,7,2,25,13,11,3,24,47,6,0,8,1,9,7,31,8,4,1,7,6,8,8,5,1,5,16,0,6,11,17,3,0,2,2,1,0,2,0,3,0
sid682,79,39,100,30,60,125,78,5,9,77,11,49,33,2,18,8,22,9,15,3,54,10,17,19,1,15,9,32,35,18,15,23,3,1,4,8,18,8,2,8,2,24,10,8,2,12,17,2,0,7,18,2,2,7,2,0,0,4,0,0,0
sid683,108,74,116,28,76,218,81,0,17,83,11,74,57,5,11,10,23,11,17,6,40,4,33,22,10,10,21,86,59,13,15,23,1,2,18,45,17,19,1,20,3,23,3,3,1,10,15,4,2,10,15,0,0,4,3,1,0,6,0,0,0
sid684,53,27,40,2,22,85,77,3,9,31,2,34,28,0,12,11,11,0,6,1,33,7,10,19,1,16,12,27,33,1,4,14,1,3,3,7,25,2,2,6,0,6,10,8,3,0,18,0,0,2,19,2,0,5,12,1,0,0,0,2,0
sid685,3,1,6,0,6,11,7,1,0,0,1,4,1,0,1,0,1,0,3,0,0,0,0,4,1,3,1,2,3,1,1,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0
sid686,18,14,28,6,23,54,16,1,0,23,2,10,2,1,3,2,2,5,8,6,10,1,8,10,2,5,8,13,14,3,5,1,3,2,2,3,4,2,0,1,1,1,2,2,1,3,5,0,7,3,6,0,0,1,0,1,0,0,0,0,0
sid687,83,52,71,23,45,124,73,1,10,38,4,27,8,0,5,4,11,16,19,3,21,0,10,12,2,8,21,43,36,8,6,26,2,0,12,1,17,2,0,1,4,12,4,4,3,16,30,5,8,6,9,0,0,5,3,0,0,1,0,0,0
sid688,14,10,25,6,8,25,17,0,1,3,0,17,9,1,5,2,3,0,8,2,10,1,0,2,0,0,1,5,12,8,0,0,2,1,2,5,4,1,0,4,3,4,0,0,0,2,5,0,3,6,3,0,0,2,0,0,0,0,0,0,0
sid689,32,14,34,9,8,25,22,1,1,31,3,14,5,0,9,3,8,6,9,1,11,3,2,7,0,7,5,12,5,4,5,11,0,0,0,12,4,15,0,2,2,8,4,4,0,0,2,2,1,3,0,0,0,5,1,0,0,0,0,0,0
sid690,164,89,163,39,101,219,115,8,20,88,27,72,51,6,26,18,28,24,20,3,49,22,11,60,9,25,17,42,74,13,2,51,25,0,9,9,24,12,2,27,0,14,18,18,3,15,15,4,6,13,12,0,0,10,2,1,1,3,0,0,0
sid691,253,146,342,78,136,377,262,15,55,118,44,193,134,21,63,40,61,30,58,20,140,51,14,104,15,57,46,96,145,47,32,56,22,24,14,34,62,30,7,37,17,27,21,19,14,49,49,18,6,24,45,2,0,6,6,16,3,11,1,0,0
sid692,69,39,76,15,57,121,73,3,9,25,12,39,23,5,19,14,14,1,16,5,19,11,6,16,2,10,5,28,35,9,11,14,3,2,6,18,22,6,0,10,10,8,8,8,2,3,7,2,4,15,0,0,0,0,6,1,0,0,0,0,0
sid693,5,4,5,1,2,6,3,0,1,4,1,7,6,0,1,1,1,2,1,0,4,1,0,2,0,2,1,2,3,0,0,0,0,3,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0
sid694,26,13,40,10,15,47,17,0,1,23,1,14,14,7,1,1,4,1,0,0,19,14,8,21,0,20,9,23,11,0,1,12,0,0,3,4,10,1,0,7,0,1,0,0,0,7,4,1,0,10,3,0,0,0,5,1,1,3,0,0,0
sid695,176,117,158,34,93,254,162,9,19,191,17,159,61,11,23,20,18,80,98,28,52,18,66,59,14,40,18,79,81,20,36,36,5,0,4,36,45,12,1,28,10,17,22,22,7,5,43,12,14,25,16,0,0,8,4,0,2,4,0,0,0
sid696,11,7,14,0,8,31,13,0,3,13,2,15,3,0,1,1,0,6,12,2,10,3,2,6,0,6,3,7,16,0,7,3,0,1,0,1,4,0,0,3,5,3,1,0,0,0,4,1,5,4,4,1,1,1,0,0,1,0,0,0,0
sid697,6,4,11,3,1,6,7,0,2,13,1,9,4,0,0,0,0,0,5,0,3,3,1,4,1,2,0,1,4,1,1,2,1,0,0,0,0,1,2,0,2,0,5,1,0,1,0,0,0,6,0,4,0,0,0,0,0,0,1,4,0
sid698,16,10,18,3,21,42,24,0,2,18,5,19,15,2,2,2,2,0,3,2,5,4,9,3,0,2,1,12,9,5,3,4,0,0,1,4,9,3,0,3,0,0,2,2,0,1,8,0,1,0,1,0,0,0,0,1,0,0,0,0,0
sid699,98,66,93,22,53,114,71,6,10,64,10,80,64,29,18,14,22,2,16,8,23,9,9,29,9,14,7,35,24,10,7,15,5,14,8,38,16,9,3,11,4,7,6,6,6,9,14,1,8,4,2,0,0,6,4,3,1,0,0,0,0
sid700,81,62,67,13,38,102,51,4,10,31,4,27,20,29,9,5,6,1,7,0,18,7,4,18,1,3,17,39,25,7,8,12,14,1,1,9,13,9,5,10,2,2,6,6,4,3,10,2,0,5,11,0,0,3,2,0,0,0,0,0,0
sid701,28,21,30,7,37,82,28,1,2,14,3,9,5,2,2,2,5,4,4,4,21,1,2,26,4,19,5,14,28,0,2,5,3,0,9,1,8,3,0,4,0,0,0,0,0,1,8,5,0,9,18,0,0,0,2,1,1,1,0,0,0
sid702,293,166,270,48,219,628,334,23,52,163,47,333,213,25,47,36,67,16,120,33,208,81,26,194,37,117,74,163,270,22,49,80,41,27,13,97,53,14,16,13,31,73,12,9,9,90,150,43,33,34,61,3,2,32,6,6,1,28,2,1,0
sid703,120,66,127,21,56,169,109,4,14,116,22,97,53,0,37,26,33,15,44,6,23,6,38,23,6,13,12,48,63,6,15,20,4,5,10,11,26,5,2,16,23,5,5,5,3,7,15,10,6,19,12,0,0,9,3,0,0,1,2,0,0
sid704,23,18,22,8,18,37,14,3,2,17,2,16,8,0,1,1,0,2,7,4,14,1,5,7,3,3,4,7,11,6,6,4,0,0,3,1,3,2,1,0,2,2,1,1,0,1,2,0,0,1,10,0,0,0,1,1,0,0,0,0,0
sid705,90,49,95,24,28,90,69,7,12,66,21,69,51,13,14,10,14,11,18,2,20,5,28,21,2,11,7,33,28,17,4,27,8,5,2,9,18,16,1,7,3,9,7,7,4,9,10,2,1,7,4,0,0,6,3,0,0,2,0,0,0
sid706,26,19,21,2,12,54,23,1,1,12,1,5,5,0,1,0,3,6,0,0,26,13,0,24,0,21,13,18,25,1,13,6,3,0,12,1,2,1,0,2,0,5,0,0,0,2,7,1,0,2,4,0,0,0,0,0,0,2,0,0,0
sid707,219,125,268,48,150,334,250,16,32,100,36,65,45,7,46,30,53,5,20,10,65,14,10,70,15,41,58,88,84,27,29,49,14,2,49,30,50,9,3,18,5,17,20,20,13,17,47,16,13,15,31,0,0,2,5,2,2,2,1,0,0
sid708,34,18,35,0,20,68,26,1,1,20,3,27,19,0,4,4,1,0,8,3,12,5,5,42,1,38,14,18,30,7,12,12,3,1,4,0,5,0,0,1,3,4,2,2,2,7,9,5,3,8,0,0,0,2,1,34,34,0,1,0,0
sid709,64,33,55,13,53,111,51,1,7,51,9,27,10,3,11,5,8,9,17,0,11,3,12,48,5,14,5,35,22,4,14,22,29,1,9,4,11,1,1,6,9,3,1,1,1,9,11,1,0,7,4,0,0,3,0,0,0,0,0,0,0
sid710,149,111,148,35,88,276,131,6,23,103,13,129,81,4,24,13,30,11,47,12,46,12,13,76,11,37,20,77,115,11,44,18,21,22,31,48,20,9,3,19,21,5,5,4,6,27,26,4,14,18,22,1,1,11,4,10,0,7,0,0,0
sid711,101,58,108,18,73,164,93,5,16,40,16,68,46,2,22,20,16,11,22,4,54,32,2,41,7,29,7,38,54,16,4,21,5,1,3,7,21,5,1,15,6,6,6,6,5,19,23,2,8,16,13,0,0,0,2,0,0,3,0,0,0
sid712,190,112,247,59,90,281,250,24,48,88,45,227,185,46,46,35,58,6,41,5,153,40,9,109,15,64,33,64,123,33,16,34,28,6,14,37,41,18,9,11,15,19,27,25,14,32,57,9,3,16,65,2,2,5,8,3,1,12,0,0,0
sid713,104,68,125,46,80,175,83,5,17,64,20,64,39,11,19,12,22,34,24,12,60,20,3,39,7,22,16,40,56,23,19,19,3,12,14,26,10,9,1,2,2,10,7,7,1,10,15,3,0,7,25,0,0,6,1,8,1,4,0,0,0
sid714,56,31,85,22,34,92,55,8,13,56,10,74,39,3,12,5,14,10,34,6,28,7,17,16,10,5,7,27,28,13,5,15,0,4,3,9,13,10,4,9,10,14,3,3,3,2,8,3,4,6,5,0,0,8,1,1,0,0,0,0,0
sid715,51,30,49,7,20,68,34,2,6,19,2,25,20,1,9,4,12,2,5,1,20,4,7,18,0,12,9,25,24,7,13,12,7,1,3,6,8,6,2,4,2,5,0,0,2,4,9,7,0,5,10,0,0,1,1,0,0,2,2,0,0
sid716,18,9,23,2,20,44,25,4,6,13,3,17,5,1,4,0,8,1,12,2,10,1,0,12,2,7,5,17,10,0,6,5,3,1,3,1,5,1,2,3,1,3,2,2,1,1,5,0,2,4,5,0,0,5,0,0,0,3,0,0,0
sid717,26,18,29,4,25,53,47,3,9,22,6,50,16,0,4,3,4,0,34,2,21,2,10,32,0,17,4,12,14,1,15,5,15,7,11,33,10,2,0,4,26,2,8,8,4,2,8,3,5,2,2,0,0,1,3,0,0,0,0,0,0
sid718,6,3,23,6,7,15,16,0,4,9,1,9,5,1,2,2,2,1,4,1,4,2,3,3,0,2,2,4,3,6,2,1,1,0,3,7,3,3,0,6,0,1,2,2,0,1,2,1,0,1,1,0,0,2,1,0,0,0,0,0,0
sid719,96,45,100,25,62,118,101,10,21,66,14,64,44,5,26,20,22,16,20,8,38,9,25,22,4,13,5,29,27,17,16,26,5,0,1,9,19,18,4,11,5,6,13,13,2,10,15,11,1,9,20,0,0,1,1,0,0,1,0,0,0
sid720,14,8,21,5,16,41,10,1,1,10,2,20,11,2,1,0,1,1,9,4,10,5,0,4,1,3,3,4,21,2,3,5,0,2,1,2,4,0,0,2,2,3,1,1,1,1,2,1,1,4,2,0,0,1,0,0,0,0,0,0,0
sid721,87,50,90,25,35,115,79,7,21,41,10,75,43,3,17,9,19,3,32,11,39,10,6,47,7,21,10,34,40,8,9,21,20,2,10,39,9,7,1,9,7,21,5,5,4,10,12,5,4,11,6,0,0,4,1,1,1,0,0,0,0
sid722,191,129,323,76,135,302,241,21,49,140,81,291,226,26,39,31,55,8,65,12,87,27,12,70,15,26,20,69,103,47,24,24,28,8,10,34,68,38,35,7,9,21,34,34,30,24,28,14,5,15,37,0,0,19,20,1,0,11,1,0,0
sid723,30,21,33,12,17,53,21,3,5,23,4,29,20,6,1,1,4,7,9,3,11,3,0,7,2,3,2,18,18,5,6,8,2,3,0,2,7,2,1,0,2,1,0,0,4,6,8,1,1,2,7,0,0,0,0,0,0,0,0,0,0
sid724,4,1,10,3,4,8,8,2,1,4,2,11,7,1,1,0,4,1,4,2,8,0,1,2,0,0,1,2,3,0,1,2,2,1,1,2,0,0,0,2,1,2,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0
sid725,97,66,82,21,51,177,128,2,21,47,7,73,52,3,24,17,17,3,21,8,25,17,12,38,6,17,18,54,66,7,19,11,15,2,17,55,38,2,5,10,5,0,11,5,4,20,16,11,4,6,8,6,0,4,11,0,0,3,0,6,0
sid726,107,60,102,28,47,108,80,4,18,57,10,79,39,4,21,8,18,6,39,32,27,17,18,44,2,14,12,28,29,11,7,26,32,2,15,23,10,7,2,12,2,2,6,6,3,14,9,1,1,13,6,0,0,2,4,0,0,1,0,0,0
sid727,275,134,356,101,164,467,279,16,54,187,64,249,201,15,66,37,60,30,47,18,154,54,32,115,13,72,39,117,194,58,62,84,14,29,15,58,69,30,15,30,9,37,21,21,11,64,51,11,5,17,57,0,0,7,10,18,1,12,2,0,0
sid728,83,39,88,27,45,126,60,3,11,41,10,62,22,3,18,12,23,9,40,4,41,11,7,11,1,6,12,35,48,7,7,27,4,0,5,7,12,2,0,6,7,24,3,2,1,7,9,5,7,9,3,1,1,16,1,0,0,3,0,0,0
sid729,50,30,38,9,23,84,41,2,3,32,8,39,29,4,14,10,8,4,10,5,27,8,9,40,1,21,6,24,37,4,2,7,19,2,3,11,7,3,2,4,2,14,2,2,0,14,10,2,1,2,7,0,0,2,0,0,0,0,0,0,0
sid730,90,47,101,30,77,200,109,2,22,51,8,101,66,1,17,10,14,4,33,14,77,10,31,17,5,9,17,60,66,13,3,29,2,9,9,21,27,10,0,10,2,23,2,2,2,15,38,3,7,13,43,0,0,10,5,1,0,3,0,0,0
sid731,57,45,68,15,74,122,51,2,12,60,3,27,26,0,6,3,19,13,1,0,75,5,14,23,7,10,13,21,39,15,2,6,6,0,6,7,6,3,3,10,0,3,7,7,3,8,12,2,0,4,65,0,0,0,1,0,0,12,2,0,0
sid732,3,2,3,0,2,9,3,0,1,3,0,2,1,0,0,0,0,0,1,0,1,1,0,1,0,1,2,5,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sid733,75,47,111,30,58,116,98,8,11,63,16,99,81,0,12,6,17,5,18,6,22,4,0,14,5,4,7,33,25,22,1,18,0,2,6,13,38,3,4,7,5,6,11,11,6,5,15,6,3,6,6,0,0,2,4,5,0,2,2,0,0
sid734,52,27,72,18,26,69,48,4,10,26,10,61,44,2,12,7,15,8,17,4,20,3,1,11,1,8,9,20,21,8,5,13,0,15,1,7,11,12,0,8,5,3,6,6,1,8,8,1,4,3,10,0,0,0,4,2,0,3,0,0,0
sid735,30,20,42,15,39,71,30,2,14,27,8,21,14,2,2,1,3,5,7,0,16,3,2,10,1,7,2,9,26,7,1,9,1,0,1,5,3,1,0,3,5,4,3,3,2,0,5,0,1,2,8,0,0,2,2,1,0,3,0,0,0
sid736,11,4,22,8,2,25,12,1,4,2,4,11,6,0,1,1,4,0,5,0,6,1,1,10,2,5,1,11,13,3,1,6,5,0,1,2,2,1,0,2,1,0,0,0,1,4,5,0,0,2,2,0,0,1,0,0,0,1,0,0,0
sid737,73,40,79,21,54,137,75,3,8,34,11,46,33,1,14,9,11,4,12,3,28,10,5,30,4,18,13,49,32,9,6,20,7,3,22,23,10,4,0,8,1,10,8,6,3,23,12,1,2,7,8,2,0,4,3,1,0,0,0,2,0
sid738,50,31,58,6,41,92,37,2,2,31,8,45,28,3,14,9,18,10,16,6,34,11,5,16,3,11,6,16,39,11,10,5,2,0,0,1,9,0,1,8,3,11,3,3,1,7,7,2,0,4,10,0,0,5,2,0,0,6,0,0,0
sid739,53,36,57,9,38,84,61,3,20,42,11,83,75,10,9,7,11,18,6,4,46,9,13,19,6,7,18,29,23,9,12,8,1,12,11,7,12,3,5,7,0,4,1,0,1,5,8,0,1,2,29,1,1,2,5,5,0,6,0,0,0
sid740,23,14,30,8,14,35,27,1,1,24,2,18,9,0,6,5,9,1,9,3,10,6,11,10,3,2,1,7,14,2,13,3,5,0,13,6,4,9,1,7,3,4,0,0,0,9,3,1,0,2,1,0,0,2,2,0,0,0,0,0,0
sid741,85,50,95,22,33,100,83,6,16,47,17,63,54,3,25,14,24,9,8,3,26,13,15,23,3,15,11,27,39,10,5,14,4,4,7,18,16,35,1,7,4,2,5,5,6,14,11,3,1,6,6,0,0,1,2,1,0,1,2,0,0
sid742,29,20,36,13,13,29,21,1,4,20,4,26,19,3,3,3,8,1,7,2,22,10,9,13,0,7,4,8,10,6,10,6,6,0,1,5,6,6,1,6,0,5,1,1,0,3,4,2,1,0,5,0,0,4,1,0,0,2,1,0,0
sid743,47,28,62,14,27,70,48,4,8,42,8,55,41,0,6,3,8,12,14,4,24,5,8,13,1,9,6,25,19,9,6,14,3,3,11,27,6,5,0,5,4,4,5,5,3,7,9,3,8,8,15,0,0,2,0,1,0,3,0,0,0
sid744,24,13,30,8,18,46,20,3,3,13,4,34,23,5,3,2,4,3,11,8,11,6,0,16,4,4,7,8,21,3,13,8,6,9,1,3,6,0,0,2,0,4,2,2,1,9,2,1,0,2,1,0,0,2,1,2,0,1,0,0,0
sid745,98,60,108,32,86,212,121,4,29,88,12,162,82,17,18,11,22,16,78,25,82,20,22,49,22,17,9,54,71,14,45,23,7,12,8,50,25,7,9,18,22,19,5,5,3,12,33,7,7,6,39,0,0,18,3,3,0,3,0,0,0
sid746,272,153,329,81,136,283,288,39,36,165,60,186,125,4,63,30,87,69,61,5,74,25,7,45,10,15,32,79,78,42,20,56,19,5,10,76,69,31,1,21,31,25,50,50,16,37,38,8,5,16,24,0,0,4,22,1,1,18,0,0,0
sid747,139,98,164,44,101,272,158,19,24,83,21,158,86,3,23,16,20,4,72,20,71,24,17,103,23,56,28,88,86,17,21,22,17,13,31,65,32,11,1,16,33,22,3,3,16,12,40,0,17,16,18,0,0,9,1,8,0,5,0,0,0
sid748,6,4,16,3,9,20,9,0,3,7,6,18,13,1,1,1,1,0,5,1,2,1,0,2,1,1,0,3,8,4,1,1,0,0,0,10,5,2,1,2,2,1,1,1,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0
sid749,50,28,44,11,36,93,46,1,8,60,7,69,53,21,9,6,8,19,16,2,15,4,10,10,8,2,7,32,25,3,19,13,0,4,0,6,19,4,2,2,3,5,4,4,2,12,5,2,1,2,4,0,0,2,4,0,0,1,0,0,0
sid750,10,8,15,3,6,16,12,0,0,7,2,11,8,0,1,1,3,0,3,0,1,0,0,0,0,0,0,5,5,4,0,1,0,0,3,3,4,0,0,3,3,1,2,2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sid751,17,9,18,4,14,29,18,1,1,15,1,20,14,0,5,4,5,1,6,0,0,0,4,3,0,0,2,6,7,1,3,3,1,0,1,7,7,2,6,3,6,0,0,0,0,2,3,4,2,2,0,0,0,0,0,2,0,0,0,0,0
sid752,150,89,164,39,118,261,146,17,21,74,25,112,63,2,30,21,27,6,49,17,68,17,15,41,1,32,15,61,80,20,17,31,8,6,18,48,28,3,3,11,14,18,9,9,7,10,32,3,5,20,28,0,0,11,4,2,0,3,1,0,0
sid753,55,34,97,24,65,138,79,6,18,98,13,101,65,4,12,6,18,9,35,14,50,7,23,32,3,19,7,37,36,15,13,10,4,20,1,21,16,10,8,9,4,17,12,2,4,12,16,5,3,14,21,10,0,10,3,7,0,3,0,10,0
sid754,110,64,113,25,54,114,94,5,11,44,18,92,73,22,23,20,31,2,19,3,44,21,4,66,8,34,9,31,31,13,6,23,27,2,6,11,25,10,1,8,3,7,8,8,5,9,19,4,1,14,9,0,0,8,8,1,0,6,2,0,0
sid755,49,29,52,14,25,69,46,7,4,49,6,24,18,0,9,7,7,10,6,0,8,3,21,14,0,3,13,18,25,3,1,12,6,0,9,3,10,4,5,3,1,4,1,1,1,7,9,2,0,2,1,0,0,2,4,5,0,0,0,0,0
sid756,44,27,36,3,16,59,38,4,2,28,2,38,16,0,10,6,9,10,22,3,26,9,5,34,2,16,10,23,24,2,1,7,15,0,4,2,6,0,0,11,9,14,3,3,0,1,10,2,4,0,3,0,0,4,0,1,1,2,0,0,0
sid757,19,9,36,9,13,52,35,0,12,17,5,33,15,3,9,5,7,4,18,8,16,10,1,20,2,15,3,14,23,3,1,3,4,1,1,18,10,4,3,4,4,1,0,0,1,5,5,1,2,4,5,0,0,2,2,0,0,1,0,0,0
sid758,104,50,116,25,92,200,133,10,22,53,19,85,58,1,27,21,32,24,27,7,33,9,5,110,11,20,12,37,70,11,8,28,64,1,10,34,36,15,0,8,12,2,2,2,1,9,25,2,0,9,7,0,0,0,5,15,0,2,0,0,0
sid759,108,70,123,34,85,241,117,5,13,64,18,75,43,1,23,13,23,15,32,7,72,15,17,39,6,14,23,66,90,16,7,19,17,2,1,11,36,6,2,10,10,26,3,3,8,12,40,3,5,9,25,0,0,5,3,2,0,4,0,0,0
sid760,10,8,14,2,5,21,9,1,1,1,2,4,1,0,1,0,1,0,3,0,1,1,0,4,0,3,3,5,11,2,0,1,1,0,0,1,2,1,0,1,1,0,2,2,1,1,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0
sid761,17,9,24,3,16,42,34,0,5,21,8,6,3,0,8,8,7,6,3,1,4,2,4,6,2,2,4,11,15,2,4,0,2,0,4,1,8,0,0,1,2,0,2,2,0,1,11,1,5,1,2,0,0,0,0,0,0,0,0,0,0
sid762,101,65,129,15,74,191,112,9,16,77,20,128,52,7,10,6,17,9,76,5,37,20,17,67,12,48,39,55,55,4,12,26,7,0,23,30,22,8,1,14,28,14,4,4,6,6,28,11,10,14,5,0,0,30,5,0,0,1,0,0,0
sid763,18,9,29,1,27,47,28,4,8,17,8,15,14,0,2,1,2,1,1,0,12,2,0,8,0,5,7,10,9,2,13,7,3,13,1,2,4,3,0,2,0,3,6,6,0,3,5,2,0,1,4,0,0,0,3,1,1,0,0,0,0
sid764,75,48,83,21,70,120,67,7,16,85,8,68,38,13,10,7,13,14,30,3,7,3,14,25,2,12,4,27,22,8,14,17,11,7,5,12,18,8,4,16,5,3,1,1,6,6,14,6,0,8,2,0,0,8,5,0,0,2,0,0,0
sid765,130,85,116,25,45,144,156,9,15,107,7,78,57,11,19,12,30,5,20,13,37,10,25,33,10,15,26,46,54,7,43,26,5,5,26,33,30,2,2,11,2,18,36,3,2,7,23,12,2,9,7,33,2,3,2,3,0,3,0,31,0
sid766,69,45,77,21,78,181,70,2,13,36,13,74,67,4,13,12,12,6,7,1,60,28,1,13,0,4,16,50,49,8,10,12,5,2,6,18,14,14,6,10,0,7,6,3,2,19,20,1,0,3,22,3,0,0,3,4,0,3,0,3,0
