,verb,present,cogmech,insight,time,relativ,funct,negate,quant,social,certain,affect,posemo,money,auxverb,future,discrep,humans,negemo,sad,percept,feel,family,bio,health,body,incl,motion,space,tentat,home,past,ingest,relig,number,achieve,adverb,work,friend,cause,anger,hear,pronoun,ipron,excl,leisure,preps,conj,death,inhib,see,ppron,i,anx,nonfl,sexual,swear,filler,assent,you,they
sid1647,46,42,58,14,42,126,50,4,16,66,8,76,46,6,2,0,2,28,30,8,36,14,2,48,12,24,6,38,40,10,34,2,10,4,4,22,14,24,8,10,8,6,6,6,4,18,8,4,4,6,12,0,0,10,0,2,0,0,0,0,0
sid1648,19,16,26,7,38,54,49,3,7,17,5,32,24,0,4,3,2,3,8,3,5,2,0,17,9,5,3,8,9,5,1,0,3,11,14,7,6,3,0,4,0,1,13,3,0,1,3,2,0,2,0,10,0,0,1,0,0,1,0,10,0
sid1649,17,13,20,2,24,42,19,0,1,4,4,14,13,0,4,2,4,0,1,0,13,8,0,3,0,2,7,9,9,2,3,1,1,0,1,0,9,0,1,2,0,1,0,0,1,2,7,0,0,0,4,0,0,1,1,0,0,1,0,0,0
sid1650,12,8,17,4,5,10,15,0,4,10,3,12,10,2,2,0,4,0,2,1,6,2,2,6,2,4,2,3,3,4,0,2,0,0,2,2,6,6,2,0,0,0,1,1,0,3,0,2,0,0,5,0,0,0,0,0,0,1,0,0,0
sid1651,189,130,197,58,153,374,165,18,15,113,22,143,96,5,25,16,28,14,46,16,86,31,26,99,8,70,31,105,116,21,37,40,20,12,27,59,32,13,6,20,14,18,24,11,9,13,35,9,8,25,38,13,1,10,7,6,1,9,1,12,0
sid1652,56,31,54,18,31,94,65,0,3,19,4,49,37,0,13,9,16,2,12,1,31,6,0,37,4,29,7,22,41,5,20,13,4,9,7,12,21,4,4,3,3,11,3,3,2,17,17,4,4,4,8,0,0,6,8,12,12,2,2,0,0
sid1653,24,11,39,12,20,41,28,0,5,24,7,13,11,14,8,6,9,5,2,1,7,1,11,2,1,1,2,15,5,3,7,5,0,3,6,5,4,3,0,5,0,3,0,0,4,10,3,3,0,1,4,0,0,0,0,0,0,0,0,0,0
sid1654,30,20,29,5,18,57,30,3,2,23,2,26,19,0,4,1,4,1,7,2,20,5,7,20,3,5,7,27,11,0,13,7,10,0,7,4,6,3,0,5,0,2,1,0,3,3,10,2,4,3,13,1,0,1,2,2,0,0,0,1,0
sid1655,95,60,142,22,86,195,175,9,39,144,17,113,79,24,15,10,28,80,34,9,40,19,18,58,9,23,24,48,66,27,23,20,24,32,44,16,34,5,0,12,20,5,12,12,4,14,28,8,9,10,20,0,0,2,2,4,0,9,0,0,0
sid1656,5,5,2,0,4,9,7,0,2,1,1,6,4,0,0,0,0,0,2,1,3,1,0,2,0,2,1,4,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
sid1657,5,4,11,2,8,18,4,0,2,4,2,7,4,1,0,0,1,0,3,1,4,1,0,1,0,1,1,8,3,3,1,1,0,0,0,0,2,1,0,1,0,2,0,0,0,3,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0
sid1658,45,25,94,28,41,83,78,5,10,61,10,76,38,29,9,7,12,4,38,7,17,6,11,27,4,15,1,21,23,5,15,12,7,17,21,26,16,9,4,17,19,3,8,3,6,3,12,5,10,12,8,5,0,6,1,2,0,2,0,5,0
sid1659,296,184,350,91,131,275,237,10,34,148,41,397,264,14,70,43,83,23,133,15,78,31,10,85,17,38,13,79,78,50,25,51,18,7,15,69,60,20,8,48,70,30,22,22,12,10,30,10,6,25,20,0,0,16,9,12,9,13,0,0,0
