,X1,X2,Nation,language_family
1209,22.070486,11.388043,Danish,Germanic
1210,3.201226,-11.4230175,Greek,Hellenic
1211,19.155317,-28.196264,German,Germanic
1212,-2.879432,25.356424,Nigerian,Chadic
1213,1.8640001,-8.358941,Greek,Hellenic
1214,14.982793,18.755829,Nordic,Germanic
1215,5.148101,-9.48509,French,Italic
1216,7.108553,0.34581846,French,Italic
1217,4.5574656,23.968145,Croatian,Slavic
1218,6.434762,37.91805,Nordic,Germanic
1219,5.919905,20.07122,English,Germanic
1220,-30.543015,-6.8908234,Albanian,Albanian
1221,-16.598331,-22.202726,English,Germanic
1222,20.232464,4.879185,Dutch,Germanic
1223,13.835287,19.464844,Indian,Hindustani
1224,-10.214145,22.266432,North_American_Native,Native_American
1225,2.6243064,36.93985,Nordic,Germanic
1226,-7.8962126,-10.835295,Italian,Italic
1227,-14.805099,26.177357,North_American_Native,Native_American
1228,25.114729,19.90942,Scandinavian,Germanic
1229,-10.966702,24.781357,North_American_Native,Native_American
1230,10.806117,-11.410942,French,Italic
1231,20.882557,-24.023453,Danish,Germanic
1232,23.999582,2.9701073,Nordic,Germanic
1233,12.675023,7.4898663,Indian,Hindustani
1234,1.2160753,39.520184,Nordic,Germanic
1235,30.13022,-31.320782,German,Germanic
1236,2.1005363,-9.55659,Italian,Italic
1237,15.7669935,15.195386,Japanese,East_Asia
1238,-17.586351,22.34036,Australian_Ethnic,Austronesian
1239,-7.782376,-1.7684468,Philippine,Austronesian
1240,9.362354,-0.25106105,Greek,Hellenic
1241,-3.7355437,16.16996,North_American_Native,Native_American
1242,-31.866337,-25.384466,Slavic,Slavic
1243,-5.9352818,31.399942,Japanese,East_Asia
1244,-4.9970374,-25.06322,Slavic,Slavic
1245,-20.293505,4.3480563,Chinese,East_Asia
1246,10.888217,8.665137,Arabic,Semitic
1247,-15.505815,16.48088,Greek,Hellenic
1248,1.7965442,24.063992,Irish,Celtic
1249,-0.049814988,11.158418,Scottish,Celtic
1250,-6.392853,-6.0029545,Indian,Hindustani
1251,8.865459,-44.221878,South_African,Bantu
1252,-35.54031,-19.61761,German,Germanic
1253,-19.973911,18.93392,Bukovinian,Italic
1254,36.25851,5.8015804,Irish,Celtic
1255,9.592025,14.087163,Portuguese,Italic
1256,-19.855293,-19.486347,Finnish,Uralic
1257,-3.0044458,11.482751,North_American_Native,Native_American
1258,0.8391175,-5.6105204,Greek,Hellenic
1259,1.2605468,-2.746221,Greek,Hellenic
1260,9.64179,-23.848475,Bulgarian,Slavic
1261,18.102861,-18.872255,German,Germanic
1262,-33.104725,-21.61553,Armenian,Armenic
1263,-17.147074,-8.709433,Portuguese,Italic
1264,-5.76207,4.571585,Swedish,Germanic
1265,-0.8710737,36.068386,Philippine,Austronesian
1266,17.191261,-19.022186,German,Germanic
1267,1.0220047,12.346195,Arabic,Semitic
1268,-30.850264,-13.229299,Welsh,Celtic
1269,-9.167616,19.430191,North_American_Native,Native_American
1270,-12.001327,6.595186,Nigerian,Chadic
1271,-11.916824,-19.001595,English,Germanic
1272,-27.478361,-22.093857,Armenian,Armenic
1273,-12.044167,-10.645655,Italian,Italic
1274,29.064318,7.21914,English,Germanic
1275,-31.992733,7.580396,Arabic,Semitic
1276,-8.252262,-27.905226,English,Germanic
1277,-7.0152693,11.317323,North_American_Native,Native_American
1278,12.666848,7.589436,Indian,Hindustani
1279,7.666238,15.928022,Irish,Celtic
1280,16.28603,-12.2657795,Indian,Hindustani
1281,20.579365,7.461228,New_Zealand_Native,Austronesian
1282,14.888362,18.232244,Scandinavian,Germanic
1283,27.561956,27.519156,French,Italic
1284,3.7831113,-28.346481,Danish,Germanic
1285,-0.92100126,-5.8316,Greek,Hellenic
1286,-24.932575,25.008396,North_American_Native,Native_American
1287,14.575129,21.806404,Japanese,East_Asia
1288,14.037444,5.815087,Portuguese,Italic
1289,0.74676096,6.973178,Chinese,East_Asia
1290,6.9981937,32.785843,Nordic,Germanic
1291,-12.992127,17.45308,Dutch,Germanic
1292,-33.554066,13.661345,Indian,Hindustani
1293,7.7539887,-11.110103,French,Italic
1294,19.322666,-7.2689786,Indian,Hindustani
1295,-5.2423406,2.6685035,Scandinavian,Germanic
1296,-2.2426202,18.54024,Philippine,Austronesian
