,nation,pdi,idv,mas,uai,ltowvs,ivr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,power,royalty,hero
10,finnish,33.0,63.0,26.0,59.0,38.28715365239295,57.36607142857142,0.569391882765765,0.1305537866350494,0.35108904265003993,1.1265311111595615,1.7235289107040417,0.7307981712395981,-0.64041368069462,-0.22582576611266497,-0.5603602036847037,-1.031574094809629,0.05276619004204613,-0.42106850110073346,-0.26960026322616637,0.7328614831987956,-0.16139338347568186,1.7020215056585046,-1.2609723535685777,-0.48812779701133746,-0.3756666662444896,-0.4641633368238045,0.42965376817212364,-0.437967397913116,-0.28777713731105664,0.28585119101772405,0.43507429195497144,-1.2534710383773693,1.0504460626662508,0.9449722462825825,0.6886777724656071,-0.09417430364500316,-0.03095700321246146,0.8902009285705451,-0.7401873170927371,-0.056356813514432356,-1.2781025835184125,0.4662347422338749,-0.29882584224642483,-0.430079251335728,0.31530514913315555,-0.38179695517212714,-0.1871242545905005,1.1520850803284604,0.874960331268478,1.2047910112999982,-0.3628294823451894,0.26863298105377476,0.2954805933096297,-0.5578915324723454,-0.9922710087993043,0.6361221049656375,-0.1308434717522037,-0.940606233785753,0.13039676987557722,0.5830670555721531,-1.17202329374427,0.260812215545857,0.7928737655546283,1.285304256309182,-1.1459321504888251,-0.5725625550020498,-1.2090950612403186,3.3831319933231985,2.587916763384267,1.0552119033011338,-0.4976111053045865,-0.34438182827528646,-0.16322231216703173
11,french,69.0,43.0,46.5,70.5,45.23803526448363,32.92410714285712,0.5480984452515166,-0.6173089914253991,-0.7385743775483872,0.35354854373231404,1.803534489000495,-0.4051225059547649,-1.3793968023472059,-0.05324706721253967,0.25311810125699874,-1.3973011724679787,-1.590504054528927,-0.62856518825455,-2.65151840099249,0.0925607521511321,0.7922902601136405,-0.8913075345593428,-0.8756627001301488,-1.451011780129183,0.9305719615060549,2.069523360428815,-0.7330863154739057,1.388702698059491,-1.423496631979267,-1.2614727097565988,1.7586711611886492,-1.1999413655381546,2.6021262725011622,1.9715978790080892,2.1514461730901546,1.2156199726460697,1.7365787277265339,1.4110389761862587,0.23449587793951968,0.9670022506359397,1.4721529906760336,0.8313772081145268,1.891792614001682,2.061488516632957,1.3306594164689287,-1.6104767886816016,0.6004419960863929,-1.476036541516592,-1.183404016507951,-1.0223260501831102,-1.044921220332269,-0.2218789213137983,-0.275435965395206,1.0194479907187255,1.1136643439425524,-0.3513162574534351,-2.889253154011396,-1.7985599980136584,-1.3881663830325595,-2.3788124827735917,0.8020215409325485,1.0852402565203298,0.09797241634062513,-1.580880956425127,0.5448132509606157,-0.0236186427629491,-0.06975358256898424,-0.1738132245703726,1.5016915557892832,-0.4864180841082162,-0.2886893837980473,-0.025308213635373927,-0.03377848211505697
12,german,26.666666666666668,63.33333333333334,71.66666666666667,64.33333333333333,72.29219143576826,56.398809523809526,0.6018665014513267,0.26066621012440255,0.06886247506208508,0.083799069913306,0.048957016063806875,0.19407247794895685,0.002462432888535141,-0.11317652820486056,0.5250886693184998,-0.7828652493677783,1.0423520456264095,0.8997424844766408,1.1927123646700957,0.1413435829063735,0.48707108694433837,0.7738633505800243,-0.5658851725274059,1.2414915604825518,1.186513037875795,0.001659268959594198,1.0977489601286539,0.882365929816003,-0.10245318769091284,-0.3387232838156294,-0.18647789316245314,0.13495315235446428,-0.21567085831743296,-0.35631173618319123,0.036798816850852144,-0.06320422457823531,-0.35999519375700223,0.27392578439670073,1.026898069558461,-0.3235492460143022,0.019870986658092758,0.5931486343958899,0.14178551470970896,-0.42581536962223243,-0.4122949060554495,0.8303246774084069,1.034658319320079,0.3668872349249975,0.14604879663649126,0.6103377132406058,-0.2345691382137132,0.44434599447680034,0.025068524834311445,0.2751795578987418,0.21295912518889212,0.6822793777764791,0.8284979552237896,0.23099931588281877,0.68453807030387,0.40210534210070925,-0.3727884157093794,-0.5774206897735352,0.2902673798918345,0.7019198680397296,0.15920406938910786,0.40708377216605335,-0.25624271558273537,0.9140889123583542,0.1513270161299554,-0.30520061112501917,-0.7286594479961903,-0.43340949048186134,-0.35559564461891324
13,greek,60.0,35.0,57.0,112.0,45.34005037783375,49.55357142857142,0.5966056041017517,0.17141707329525793,0.11421520210518263,0.14978874148879198,0.7414560250979102,0.8689482211765143,-0.5620287990478761,0.3612659920647669,0.16604367425023642,0.015342178909280869,-0.4044685522677435,-0.366369608714939,-0.5463864569522897,0.03640980208407343,-0.4747631698259751,-0.018547003363367856,1.5267190649934188,-0.05368043894694046,-0.01897136884121663,0.4949849589953237,-0.6465696799175906,2.9545432434496512,-0.551214847365895,-1.5643308267952933,3.0293339294654045,-0.9455959822031151,1.1582174609991256,0.12764629484371617,1.8822948578417316,0.462132135746431,2.8358042953546394,1.1924057110209638,0.4342437537435829,-0.7300638280118884,1.6601630977500939,-0.004291224361567491,-0.1644361313596605,-0.34178524902651786,1.43228965040094,0.14854181923371762,0.6250215960630021,0.11210175793650631,-0.28192733938384673,0.40300082016107186,-0.2661833874479836,0.39373332639262004,0.003985137092106864,1.3123448808245812,1.0236840230054598,0.3367534967122078,-0.567443430219485,-0.15810761589228434,0.08004138884427917,-0.9729126753651346,0.554050919654566,0.20438434681380063,0.06305728440305267,-1.8532316073619692,-0.7029012276611843,-1.0359745363294464,0.4730287378197777,0.3201910016992096,0.5610883535420085,0.12871013563728176,-1.5411985631228113,-1.7317329598985374,-0.020290581679313316
14,icelandic,30.0,60.0,10.0,50.0,27.95969773299748,66.74107142857142,0.6111039286748616,0.6844864974547017,0.2794550961946336,-0.8189450017855323,-1.1445298857528745,-0.6721809619980899,1.134480118432447,0.6518721471436209,1.1223436773224245,-1.613505025718835,1.4005035829768053,1.52891357852972,1.3960836311039666,-0.04502977473781257,1.1890740883897786,0.9982451310066034,0.7611801449730593,0.66438993993449,0.8769816812437577,1.201246727062598,-0.11065941208920227,-0.7874211142199747,0.5921794905793965,0.09641136130068237,-0.45466769425865633,-0.2246335813318313,0.22110605390768845,0.1171770811752481,0.27638830001692755,0.0035770543507127493,0.5486503640780587,-0.302450981899343,1.9215558334138432,0.6792979532507193,-0.44488888359455964,1.602750800101279,1.188630296253494,1.7432866216194325,0.1687541613795103,0.3953695506033335,0.48643320306203086,-0.06840139966153434,0.08784293138651593,0.3549686773681441,-0.2049832309305413,-1.859100667507745,-1.2342227588883254,-0.4899417733610634,-0.844646406755658,-1.0779197358337844,0.27274732127516577,-0.4323679993646484,-5.082901876282831e-06,0.8122853499416703,-0.3647718703606002,2.4059689558037394,-1.0228591581042703,0.1728817169923353,-1.3832239185862067,-1.69595240981332,0.524478607118441,0.26867866423220865,-0.29820335172272494,-0.5675645897547605,1.2761712435496584,1.5042065244397307,-0.2500497353858556
15,italian,50.0,76.0,70.0,75.0,61.460957178841305,29.6875,0.5917976233488647,0.7811995431058394,0.23500051078088185,0.5203085008597601,0.17970113532964105,0.6863720958571821,0.03574082158752845,-0.8491895189499421,1.4992162196848,-0.025084040730674835,1.008298984941295,0.6592600542087619,0.11850552848944354,1.5628584093827667,0.5087488870510121,-0.4751889425777642,-0.9364039832466452,0.0758188012602202,-0.09810719391909248,-0.4424551568455085,0.24694440001530224,2.0639169017751735,0.6418918320059614,0.30469127035256793,-0.3522267530741179,-0.4988087322263666,-0.25799309065860443,-0.132750335558597,-0.2923002875466773,-0.944253139255011,-0.10618342289934397,0.26986586112805777,0.06453484940431048,0.15661946097998486,0.8177474942902258,0.289362851156737,-0.6623607577126627,-0.20059835648887822,-0.3599795487611479,0.011140724530360616,-0.4798631368289757,-0.03656386842555413,-1.041022855431499,1.097834437688726,-1.0183104282564197,0.4501979705822635,0.45560983402000105,-0.21542069969660652,1.4838613058891204,0.3109547589291184,-0.8595005073174778,0.6002132126163817,-1.4836699771873472,-0.1925939951867493,0.030223580425522957,0.9587756033411882,-0.6384656803522409,0.2318894748151645,1.0323498183742796,0.8141757688451721,0.39500203065628353,0.332306169786626,-0.16315933804269506,0.7925657153761394,1.0377799973971609,1.4597676471862067,-0.4248825120051537
16,japanese,54.0,46.0,95.0,92.0,87.9093198992443,41.7410714285714,0.5659029221082812,-0.8354302237501944,-0.48745306914132197,-0.4882544610798517,-1.2519519754451245,-1.1247973669567484,0.35363657125927267,-0.2760665969319556,-0.9891883656013204,0.2639016977921269,-1.3888005855445877,-0.7564125756268316,-1.035708813261788,-0.6157197613260075,-1.0627418797324442,-1.0706492935829957,0.3989319041195355,-0.5105885253009581,-0.42730645214252577,0.07553934228277204,-1.24813562080421,-0.7828823627131517,-0.45236485003889404,-0.44629076590939504,0.18049090251007638,0.689623234095112,1.4122296812180435,1.8341327965046441,0.213566183227766,0.0598736456373839,-0.5147557067488073,0.8117166008053692,-0.9463602700980325,-0.306937848407038,-0.26963816589066564,-1.0355152016726688,-0.21498094273746554,0.4333803246585712,1.5923321468228369,-0.24278754179409068,-1.6703387921892738,1.394219548396081,1.0646330464074993,0.06275827491143017,1.0862431792301896,0.3460344275432671,0.7920195231052625,0.5960262695670664,0.7647813427535353,-1.0059158175318599,-0.6015938141683499,-0.7846291229040315,-0.20713310807920096,-0.16074497969211202,-0.09085322693401843,-1.0814069153101726,1.3320657935355036,-0.36587463223709077,-0.32044753983570756,0.7744766252244225,-0.11383208101780984,0.4802602996037415,-0.9314091697069399,0.7309476325227915,-0.9320940706900201,-1.1775343621715382,0.028820816672646278
17,lithuanian,42.0,60.0,19.0,65.0,81.86397984886649,15.624999999999998,0.6273049645390071,1.4748356932025046,2.039705189069727,-0.3495635821160372,0.6043912764087582,-0.603360639584983,2.4569934749294955,2.6465324705636606,-1.3202889457408575,1.010541624955316,-0.16865302631058993,-0.8171596226041298,1.0040478136317752,-2.2637742206584845,2.262187892844196,1.0660638102718294,0.010257773597584523,2.1615912731170472,-1.9680520139594955,-2.4127578017560074,2.6898894017741615,-1.025970892614246,1.3097122567249009,1.2400355707571538,-1.0624068962844235,-2.4764638451085035,-1.9319474230509068,-2.1813342676649436,-0.655253326029146,0.8955110757805583,0.8566180491753598,-1.469345479763894,1.64398735265948,0.09539700553436131,-2.2301862236288224,-0.6046233394558373,-0.9077077026586177,-2.4888716943533895,-2.240421849445222,3.34349425209443,0.2778958439798054,0.37368305238002214,-0.36254785466092104,0.7376186056132443,1.7925405753456287,-2.469592818085102,-3.0148550394097104,3.040989464082677,-2.011967301424352,-1.5272351289319555,1.1440977687135825,2.4261931354465114,-0.20017384745328845,-0.5405343124121469,-2.3446752800104864,-0.4924191885158218,-1.3002370721553071,-1.438455844259183,-1.8082653637545822,-1.0449184350425462,4.239302311902361,-1.4305413385164807,0.5869061322130511,-1.2234971713172287,3.106716316714648,0.39374430450086834,4.905292729570818
18,polish,68.0,60.0,64.0,93.0,37.78337531486146,29.241071428571427,0.5643997375905486,-1.333814259716313,-0.6876006169146883,-1.003824143418247,-1.5783758116119364,-0.7884437241953964,0.7449809047116979,-1.4949934098696585,-1.815035875607561,1.4578132540118325,-2.061906322285041,-1.6436614476842402,-0.7050412685093965,-2.2236485950336062,-1.379421868954966,-1.200643774453179,1.4526087233471405,-0.9732868401313399,-1.404204554846578,-0.3353498961460862,-0.8387950654262144,-0.6416297780130281,-1.0256168033634663,-0.7886957559978481,0.000787963760039837,-0.5699294787794378,0.8696510587994865,-0.7361180650445268,2.400797925969388,3.508284386257215,1.3118755273602005,1.6519586588594461,-1.6014518898110754,-1.2200009284990794,-0.7386753921426983,-1.32752988935464,-1.0591106516420064,-0.46518311012747887,1.0641705751198103,-0.07067617164617691,-1.748606812896203,0.348364292032028,1.8796968295316165,-1.188453464948807,1.1508996905275728,0.3051169786956756,1.5023934739589464,0.5526033949916945,-0.08630979176828524,-1.4006011126970133,1.351808460633354,0.22381516796388162,2.436878007900279,-0.5217007021313979,-0.9107784031674572,-0.5308312994614074,0.35639995976219624,0.22552162924802935,-0.8519448889235937,0.735281434324475,1.3286511876015727,-0.8135123053582907,-0.4325069558656594,-0.345329393220024,0.3534559711942541,-0.1140770679217414,0.3330317399406475
19,portuguese,75.0,23.6,30.6,64.8,22.008060453400503,67.68214285714285,0.57852408346509,0.18733020078787396,0.01463153569786797,0.14215409744942786,-0.3446031078910315,0.16009119147703577,0.25405088612503207,-0.8697956258031517,0.46800934557534635,0.05964135371580375,0.21067604789022268,1.395930176322501,0.03391390764353717,0.03035125170843072,0.17258149723328067,-0.1630297381296104,0.3308886097840931,-2.03591939402692,0.14951041256101674,0.09568040800860318,-1.470180817242682,-0.15872989893005576,0.28293848937387783,0.17064325274669817,-0.024381152912380372,0.27095001631380583,0.5706176211827272,0.8309024923864038,0.019985690106393963,-0.06499516162288431,-0.17708341431469066,0.30393853566410417,-2.0478243844114665,-0.032449341770817416,0.14274238486685978,-0.108241321130586,0.1423064748291723,0.36138520693551596,1.3921247344042154,-1.9866737819844815,-0.8207096094151611,-0.4520387970043612,-0.12419852006883213,-0.04769364981016094,-0.8587389875739553,-0.517155170169537,-0.8697922197988992,-0.36723271717965167,2.8666472710635205,-0.7996329959539478,-1.4390161180426513,-1.0712821834308166,-0.7947835932463454,-0.8915364863439748,0.41653183651958936,1.1800844528493872,-1.101050670339669,0.9094325200279664,0.8124861434849084,0.8218025233717676,-0.14590536999033774,-0.38775651674962314,-1.2477514351175996,-0.4982958844136664,1.076073538662442,1.6621398573438841,0.028031885326393606
