lemma,japanese,serbian,german,french,north_american_native,brazilian,armenian,english,russian,greek,danish,canadian_native,ukrainian,indian,norwegian,welsh,scandinavian,polish,czechoslovak,scottish,celtic,portuguese,arabic,croatian,estonian,dutch,italian,nigerian,albanian,maori,nordic,irish,hungarian,south_african,slavic,australian_ethnic,chinese,tanzanian,swedish,icelandic,philippine,hawaiian,jewish,romanian,korean,turkish,finnish,belgian,spanish,cataloanian,bulgarian,bukovinian,new_zealand_native,sami,pakistani,lithuanian,zimbabwe,diff
house,0.004745567721922058,0.0,0.003982999392835459,0.001800582734048474,0.004935572842394692,0.0,0.0,0.004811435644552696,0.002770651616213443,0.002421361293762218,0.003794276195544039,0.0,0.0,0.004823775575407515,0.0,0.0,0.004226473982801502,0.0,0.0020012210840512855,0.004943297470194824,0.0,0.0,0.0,0.0,0.0,0.0,0.004127358490566038,0.0,0.0,0.0,0.0043127348900252604,0.004383561643835616,0.0,0.0,0.0024297515936311923,0.0,0.0035275925389001645,0.0,0.0,0.0,0.00961732463514695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
time,0.006984818292006492,0.0,0.005666869054847197,0.007136855200410314,0.007070336182530805,0.0,0.0,0.007027491065902693,0.005643919958953309,0.0058423671583437,0.005228697684103371,0.0,0.0,0.00563817924398281,0.0,0.0,0.0052668368093372565,0.0,0.007055152296316396,0.005931956964233789,0.0,0.0,0.0,0.0,0.0,0.0,0.007258458035133377,0.0,0.0,0.0,0.003799314069784158,0.008302200083022002,0.0,0.0,0.007889546351084813,0.007279854402911942,0.007135723720240972,0.0,0.0,0.0,0.008541260340305333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
reply,0.0006368510795652977,0.0,0.0023396073669297713,0.0032628741665484467,0.001801740259074879,0.0,0.0,0.0013975124278783765,0.002668034889687019,0.0015994313133108227,0.0014575573190199662,0.0,0.0,0.003658551864984401,0.0,0.0,0.001495521563145147,0.0,0.0006105420256427651,0.0012212852573422507,0.0,0.0,0.0,0.0,0.0,0.0,0.004615322055953155,0.0,0.0,0.0,0.0012527468013882898,0.000514736405147364,0.0,0.0,0.0029157019123574306,0.0,0.002158435617409233,0.0,0.0,0.0,0.0022866366265384356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
night,0.004581219056227787,0.0,0.003626796195102206,0.0022480002619029433,0.004619627868054548,0.0,0.0,0.0046317554752540475,0.0024628014366341712,0.002332503998578283,0.0030307937903431043,0.0,0.0,0.0036836104394021023,0.0,0.0,0.003088577141278021,0.0,0.0019673020826266874,0.00639720849084036,0.0,0.0,0.0,0.0,0.0,0.0,0.002622804163955758,0.0,0.0,0.0,0.0028751565933501735,0.005794935657949357,0.0,0.0,0.0034016522310836694,0.0033599328013439733,0.002432267001707419,0.0,0.0,0.0,0.004237003160938866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
like,0.005444049551122707,0.0,0.005844970653713823,0.0046487772406342415,0.0051148929629661255,0.0,0.0,0.00660823733753918,0.005678125534462117,0.006531011196019193,0.009462554658399463,0.0,0.0,0.003896608321952564,0.0,0.0,0.007802721199018157,0.0,0.004850417203717523,0.004652515266065717,0.0,0.0,0.0,0.0,0.0,0.0,0.00727878985035784,0.0,0.0,0.0,0.006078902511654652,0.00875051888750519,0.0,0.0,0.004745161935797387,0.0037799244015119695,0.003962501208079636,0.0,0.0,0.0,0.004102495124083664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
palace,0.0023008813197197856,0.0,0.0011738514470754908,0.0032737867891790436,0.0001537029604898001,0.0,0.0,0.0015971570604324302,0.0035573798529160254,0.0020437177892304956,0.001966545589153923,0.0,0.0,0.004285016225426936,0.0,0.0,0.0012354308565112083,0.0,0.002204735092598874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037817176317501626,0.0,0.0,0.0,0.0013143572998172222,0.0018929016189290161,0.0,0.0,0.0034016522310836694,0.0,0.001256402822074031,0.0,0.0,0.0,0.0007397942027036115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
upon,0.008196889701501736,0.0,0.00229103420360251,0.0040594956185820135,0.003962120759292625,0.0,0.0,0.002914811635289185,0.0033863519753719856,0.007019726319530834,0.00469657358350878,0.0,0.0,0.0028316189092002556,0.0,0.0,0.005136791456020287,0.0,0.002306492096872668,0.003896481535330038,0.0,0.0,0.0,0.0,0.0,0.0,0.00363939492517892,0.0,0.0,0.0,0.006551249666276467,0.002889165628891656,0.0,0.0,0.0037732612983449104,0.0006999860002799944,0.004316871234818466,0.0,0.0,0.0,0.0017486044791176273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
child,0.00616307496353514,0.0,0.006152600688119814,0.0026735925444962188,0.0039108864391293584,0.0,0.0,0.0017968016929864842,0.004207285787583376,0.0032877199218055804,0.004395807787520533,0.0,0.0,0.0027564431859471513,0.0,0.0,0.004275240990295365,0.0,0.003391900142459806,0.0025007269555103228,0.0,0.0,0.0,0.0,0.0,0.0,0.0037613858165256994,0.0,0.0,0.0,0.0030189144230176822,0.005396430053964301,0.0,0.0,0.0038590172369436584,0.006439871202575949,0.0026738829290293485,0.0,0.0,0.0,0.002824668773959244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
told,0.002896645232861516,0.0,0.003222019834041692,0.0032083110533954627,0.003740105371918469,0.0,0.0,0.004891293497574317,0.0033692491876175816,0.0026212902079260705,0.003192744603567545,0.0,0.0,0.003746256875446356,0.0,0.0,0.0024871173821870377,0.0,0.0038328471609795807,0.004245420180284966,0.0,0.0,0.0,0.0,0.0,0.0,0.004493331164606376,0.0,0.0,0.0,0.0037171667385455815,0.003918638439186385,0.0,0.0,0.0038876025498099077,0.0043399132017359655,0.0029960374987919205,0.0,0.0,0.0,0.006052861658484094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
word,0.0023008813197197856,0.0,0.0017405383525602104,0.002717243035018606,0.0012296236839184009,0.0,0.0,0.002096268641817565,0.002531212587651787,0.0017993602274746757,0.0020590889109964603,0.0,0.0,0.00254344530339669,0.0,0.0,0.002031958645577645,0.0,0.0019333830812020894,0.001395754579819715,0.0,0.0,0.0,0.0,0.0,0.0,0.0032734222511385815,0.0,0.0,0.0,0.002300125274680139,0.0022748028227480284,0.0,0.0,0.0028871165994911814,0.0013299734005319894,0.0026255597435649626,0.0,0.0,0.0,0.0009415562579864146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
must,0.0046428498058631385,0.0,0.005925925925925926,0.004201359712779773,0.004090206559700792,0.0,0.0,0.003813212481782427,0.0030613990080383103,0.004043006930869024,0.0065937116812807995,0.0,0.0,0.0056256499567739595,0.0,0.0,0.004584098704423167,0.0,0.00437555118377315,0.003896481535330038,0.0,0.0,0.0,0.0,0.0,0.0,0.005021958360442421,0.0,0.0,0.0,0.00421005072597704,0.004034869240348692,0.0,0.0,0.003573164108281165,0.005879882402351953,0.004059147579008408,0.0,0.0,0.0,0.005514829511063286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
shall,0.0029993631489204347,0.0,0.0049868447682655335,0.004550563636958871,0.0029459734093878354,0.0,0.0,0.003952963724570265,0.003984949546776124,0.004642793673360583,0.004927931888115124,0.0,0.0,0.004360191948680039,0.0,0.0,0.0038851049303444576,0.0,0.0037989281595549825,0.0018610061064262867,0.0,0.0,0.0,0.0,0.0,0.0,0.004635653871177619,0.0,0.0,0.0,0.0031010617542562586,0.002640099626400996,0.0,0.0,0.004001943801274905,0.007559848803023939,0.002722206114493734,0.0,0.0,0.0,0.0028919227923868453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
wife,0.0039649115598742735,0.0,0.003570127504553734,0.0021825245261193624,0.0038596521189660916,0.0,0.0,0.004052786040847292,0.0048571917222507265,0.0018215745512706594,0.0019434097586932882,0.0,0.0,0.007567689474145816,0.0,0.0,0.0022757936830469627,0.0,0.0036971711552811885,0.004594358825239895,0.0,0.0,0.0,0.0,0.0,0.0,0.005509921925829538,0.0,0.0,0.0,0.0028956934261598175,0.00199252801992528,0.0,0.0,0.004344967555669897,0.005949881002379953,0.0037531007377339647,0.0,0.0,0.0,0.005649337547918488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
